"Data" "n" "xmin" "alpha" "K" "W2" "U2" "A2"
"1" "2401" "3442" "5" "2.18" "0.57" "0.730297762013243" "0.488163743307593" "0.764910091660663"
"2" "2402" "3437" "5" "2.17" "0.716" "0.890157958396457" "0.765567599113894" "0.920691344363169"
"3" "2403" "3403" "5" "2.17" "0.676" "0.901177009208824" "0.780881129414997" "0.924616607593748"
"4" "2404" "3398" "4" "2.22" "0.844" "0.796213955550839" "0.657370571113704" "0.845039850240256"
"5" "2405" "3399" "4" "2.2" "0.924" "0.978052393321353" "0.951299573621935" "0.988288812069926"
"6" "2406" "3412" "4" "2.21" "0.946" "0.90577856599835" "0.851424521257212" "0.939374336294597"
"7" "2407" "3414" "4" "2.19" "0.816" "0.979720939322778" "0.953550012622592" "0.984349081144028"
"8" "2408" "3415" "4" "2.19" "0.774" "0.9435328460402" "0.884213700646901" "0.967448310224499"
"9" "2409" "3434" "4" "2.18" "0.792" "0.966322114674106" "0.921436416522182" "0.977270477944042"
"10" "2410" "3430" "4" "2.18" "0.772" "0.908895394183533" "0.806716510807331" "0.93653100667861"
"11" "2411" "3436" "4" "2.19" "0.582" "0.919412609705478" "0.834440625579602" "0.95107969427772"
"12" "2412" "3444" "4" "2.19" "0.77" "0.885698626823622" "0.774888922963057" "0.933231846307459"
"13" "2413" "3442" "4" "2.19" "0.384" "0.725903362984483" "0.538379751051269" "0.814094758184122"
"14" "2414" "3453" "4" "2.18" "0.368" "0.70978249874207" "0.487369800182514" "0.791278481321177"
"15" "2415" "3452" "4" "2.18" "0.666" "0.744583278140764" "0.532637087987151" "0.793228491462252"
"16" "2416" "3450" "4" "2.18" "0.424" "0.633062178833897" "0.386432091861338" "0.6797923222245"
"17" "2417" "3450" "4" "2.19" "0.928" "0.923352453650785" "0.834399896953533" "0.950219606545486"
"18" "2418" "3459" "4" "2.2" "0.876" "0.942685200777417" "0.87362042783939" "0.962362448383027"
"19" "2419" "3455" "4" "2.22" "0.316" "0.693626385520007" "0.520863101331732" "0.779082664131892"
"20" "2420" "3465" "4" "2.21" "0.1" "0.57645413308195" "0.31028601001453" "0.682724146883801"
"21" "2421" "3474" "9" "2.25" "0.65" "0.888256783871868" "0.832027908519686" "0.913550614708703"
"22" "2422" "3470" "4" "2.2" "0.132" "0.659699517053721" "0.416068605211835" "0.757966136905747"
"23" "2423" "3469" "8" "2.21" "0.786" "0.914852447003846" "0.795936823642068" "0.955989051982365"
"24" "2424" "3472" "8" "2.22" "0.054" "0.887514624848607" "0.742588727169864" "0.934197088794217"
"25" "2425" "3480" "8" "2.21" "0.456" "0.906401347372752" "0.782332167133299" "0.952201384311191"
"26" "2426" "3488" "4" "2.2" "0.03" "0.543177268192707" "0.28487538954941" "0.652722582421471"
"27" "2427" "3487" "8" "2.21" "0.318" "0.862275765880221" "0.695907806581137" "0.907591874511398"
"28" "2428" "3497" "8" "2.2" "0.324" "0.932893292088512" "0.832836044450828" "0.965077160166237"
"29" "2429" "3505" "4" "2.22" "0.094" "0.498200272560441" "0.275739243649447" "0.584531959039982"
"30" "2430" "3498" "4" "2.21" "0.408" "0.663437054254856" "0.528443924934076" "0.752053809410225"
"31" "2431" "3503" "4" "2.2" "0.138" "0.586484235162265" "0.365203641775232" "0.671511141597148"
"32" "2432" "3505" "4" "2.2" "0.538" "0.713736261234002" "0.520972292357552" "0.781881358240743"
"33" "2433" "3521" "5" "2.18" "0.43" "0.725334064680298" "0.494328905230627" "0.738196591896416"
"34" "2434" "3522" "4" "2.21" "0.42" "0.720538711983894" "0.638150689111227" "0.770903918968694"
"35" "2435" "3530" "4" "2.22" "0.3" "0.66691285687326" "0.527863233387303" "0.722649789309674"
"36" "2436" "3537" "5" "2.19" "0.43" "0.826997054693531" "0.660588299787651" "0.847578725878226"
"37" "2437" "3531" "5" "2.19" "0.712" "0.74788014226175" "0.535395429286161" "0.784249561510659"
"38" "2438" "3468" "5" "2.19" "0.4" "0.855632156467429" "0.696154784370399" "0.894710256301887"
"39" "2439" "3564" "5" "2.17" "0.568" "0.905023381681692" "0.808430935571586" "0.933948362152396"
"40" "2440" "3568" "5" "2.15" "0.392" "0.876380572593918" "0.79692505097656" "0.909320662927457"
"41" "2441" "3585" "5" "2.17" "0.428" "0.933914596509532" "0.85579453187739" "0.953498490969734"
"42" "2442" "3576" "5" "2.18" "0.504" "0.904410327801861" "0.786979161110619" "0.93030567183571"
"43" "2443" "3576" "5" "2.17" "0.358" "0.925246336248404" "0.830852464303213" "0.942713410817699"
"44" "2444" "3579" "5" "2.18" "0.248" "0.903101847508894" "0.802735859989704" "0.929371335390689"
"45" "2445" "3579" "4" "2.23" "0.66" "0.628830280629658" "0.555098535192836" "0.697734633744394"
"46" "2446" "3595" "5" "2.2" "0.59" "0.833111127592952" "0.668385879160963" "0.857455231125763"
"47" "2447" "3591" "4" "2.23" "0.45" "0.607264049598843" "0.44541998985207" "0.658945189465069"
"48" "2448" "3584" "5" "2.19" "0.44" "0.883945131962103" "0.756254938208377" "0.908846365292226"
"49" "2449" "3582" "5" "2.2" "0.638" "0.961156681401693" "0.907495305630413" "0.979854441983668"
"50" "2450" "3595" "5" "2.19" "0.394" "0.843574683309765" "0.676004208513392" "0.880762319820853"
"51" "2451" "3599" "5" "2.18" "0.498" "0.928160089977753" "0.835593433034572" "0.953918591975875"
"52" "2452" "3611" "5" "2.18" "0.768" "0.880553168719436" "0.756705944577274" "0.920831769358964"
"53" "2453" "3607" "5" "2.18" "0.59" "0.890526674508925" "0.79833886752737" "0.913455756360411"
"54" "2454" "3617" "5" "2.18" "0.754" "0.926871875929491" "0.841733872330782" "0.959294311425288"
"55" "2455" "3623" "4" "2.21" "0.706" "0.704819439669004" "0.624056597011686" "0.764771236727262"
"56" "2456" "3613" "4" "2.22" "0.78" "0.817816010583462" "0.724838663635578" "0.872804104463341"
"57" "2457" "3620" "5" "2.18" "0.602" "0.891954500102463" "0.765365508889426" "0.932643311603809"
"58" "2458" "3603" "5" "2.17" "0.686" "0.8832958488911" "0.809304231774477" "0.926544078134121"
"59" "2459" "3610" "4" "2.23" "0.66" "0.5115468412896" "0.368313138007224" "0.584693311585947"
"60" "2460" "3613" "5" "2.18" "0.952" "0.975871506521325" "0.945940062017951" "0.982428285667239"
"61" "2461" "3622" "5" "2.17" "0.928" "0.997916572656648" "0.99524495200459" "0.998021014936039"
"62" "2462" "3618" "5" "2.19" "0.58" "0.924336235559019" "0.830435556101248" "0.938887633083767"
"63" "2463" "3621" "5" "2.19" "0.96" "0.974106797208737" "0.935996755017709" "0.983579974745524"
"64" "2464" "3627" "5" "2.18" "0.956" "0.986520599246776" "0.966033652999239" "0.990481975406155"
"65" "2465" "3632" "5" "2.17" "0.944" "0.974986098480143" "0.96617774427734" "0.983156961859507"
"66" "2466" "3630" "5" "2.18" "0.978" "0.996150357584784" "0.993661746762909" "0.998325425904042"
"67" "2467" "3634" "5" "2.17" "0.574" "0.953566305518685" "0.920805815812507" "0.97991282883721"
"68" "2468" "3640" "5" "2.16" "0.486" "0.938348763036142" "0.867127676362646" "0.966095098571202"
"69" "2469" "3636" "5" "2.17" "0.642" "0.951200934588066" "0.884562637624278" "0.974052132923137"
"70" "2470" "3636" "5" "2.17" "0.798" "0.968850952497371" "0.931309033530248" "0.984733069139587"
"71" "2471" "3641" "5" "2.17" "0.386" "0.903279356191007" "0.825080933873065" "0.949802757438089"
"72" "2472" "3634" "5" "2.15" "0.678" "0.916844882892593" "0.890047923196852" "0.940672340935427"
"73" "2473" "3645" "5" "2.15" "0.54" "0.956503049566302" "0.921445437560642" "0.969276986373126"
"74" "2474" "3655" "5" "2.18" "0.54" "0.992833638530104" "0.981632112575386" "0.995293238308438"
"75" "2475" "3666" "5" "2.17" "0.724" "0.951583328668945" "0.928406877265366" "0.967464475102855"
"76" "2476" "3670" "5" "2.17" "0.832" "0.967105150388584" "0.939262865399401" "0.978019463719724"
"77" "2477" "3665" "5" "2.17" "0.926" "0.984408257680024" "0.967749839599102" "0.985059843740474"
"78" "2478" "3670" "6" "2.19" "0.872" "0.99523310139484" "0.987087142894716" "0.99508578790668"
"79" "2479" "3662" "5" "2.16" "0.874" "0.933706877924314" "0.897094437236246" "0.930955816238608"
"80" "2480" "2883" "6" "2.24" "0.796" "0.991467757596898" "0.977031462616003" "0.997262359834718"
"81" "2481" "3677" "5" "2.17" "0.93" "0.977155550424575" "0.950952437437519" "0.987018764101999"
"82" "2482" "3677" "5" "2.17" "0.856" "0.978072568438199" "0.947437223787797" "0.982413490321149"
"83" "2483" "3675" "5" "2.19" "0.95" "0.997277662861733" "0.992946463805858" "0.998773020594992"
"84" "2484" "3682" "5" "2.19" "0.97" "0.988956615552785" "0.972465843124486" "0.995052858671919"
"85" "2485" "3693" "5" "2.18" "0.972" "0.998967213507914" "0.997173460788817" "0.998423369923754"
"86" "2486" "3692" "5" "2.17" "0.898" "0.996964936852856" "0.994189773210922" "0.996599576413244"
"87" "2487" "3701" "5" "2.18" "0.872" "0.958150385076933" "0.917021707525719" "0.966767486870974"
"88" "2488" "3703" "5" "2.19" "0.812" "0.991216822821539" "0.983764108377665" "0.9948606287664"
"89" "2489" "3701" "5" "2.18" "0.722" "0.984835896722116" "0.970923909684124" "0.987203839851197"
"90" "2490" "3699" "5" "2.18" "0.864" "0.980583184223063" "0.968924817169934" "0.986548397149942"
"91" "2491" "3706" "5" "2.19" "0.882" "0.958938267959994" "0.90568154531958" "0.97517430474321"
"92" "2492" "3720" "5" "2.19" "0.86" "0.961981778070103" "0.911193557077134" "0.979390435681351"
"93" "2493" "3710" "5" "2.2" "0.868" "0.996520389016206" "0.9902501511868" "0.998707870923007"
"94" "2494" "3722" "4" "2.22" "0.81" "0.87781350054734" "0.791357400334338" "0.910225453060125"
"95" "2495" "3706" "5" "2.18" "0.674" "0.95457840096482" "0.917656280915084" "0.96298276649454"
"96" "2496" "3713" "4" "2.21" "0.776" "0.812595041679342" "0.739819696329262" "0.85000664236224"
"97" "2497" "3713" "5" "2.18" "0.342" "0.970655789996367" "0.933397285757364" "0.981699442463753"
"98" "2498" "3717" "5" "2.18" "0.802" "0.983862766783421" "0.963624383247405" "0.985833003751054"
"99" "2499" "3717" "5" "2.19" "0.78" "0.97288758009929" "0.952810528814367" "0.987159919665992"
"100" "2500" "3720" "5" "2.18" "0.844" "0.959045586455713" "0.945161555095942" "0.977635184161983"
"101" "2501" "3732" "5" "2.19" "0.672" "0.976973213366362" "0.964256614855616" "0.991285008471654"
"102" "2502" "3727" "8" "2.24" "0.648" "0.975315653328117" "0.967267712506023" "0.984854463572028"
"103" "2503" "3727" "4" "2.23" "0.784" "0.733269005281116" "0.660772422962761" "0.807079780042195"
"104" "2504" "3736" "5" "2.19" "0.784" "0.951096415611973" "0.884202305267923" "0.970132601151507"
"105" "2505" "3741" "5" "2.18" "0.734" "0.982313288798991" "0.962721318283668" "0.984548563684348"
"106" "2506" "3752" "5" "2.19" "0.796" "0.996012280185603" "0.989980450756126" "0.997331430802757"
"107" "2507" "3758" "5" "2.18" "0.748" "0.937218372339292" "0.860209500208451" "0.939168983131881"
"108" "2508" "3755" "5" "2.19" "0.906" "0.935152899874208" "0.874051945868738" "0.947995713267297"
"109" "2509" "3757" "5" "2.19" "0.93" "0.991145881451148" "0.977314969180365" "0.993128124319486"
"110" "2510" "3755" "5" "2.19" "0.882" "0.981596750743701" "0.955205405817987" "0.982871714648649"
"111" "2511" "3761" "5" "2.2" "0.914" "0.992629031339478" "0.982736720685818" "0.99455020885364"
"112" "2512" "3759" "6" "2.21" "0.898" "0.968687565930561" "0.922653124883474" "0.971199636915813"
"113" "2513" "3761" "5" "2.19" "0.854" "0.987010046631543" "0.967029433458725" "0.991397874280721"
"114" "2514" "3754" "5" "2.21" "0.922" "0.994307754818861" "0.985023382217771" "0.998210264458913"
"115" "2515" "3777" "5" "2.18" "0.826" "0.957038019374241" "0.914862862482798" "0.95578590749871"
"116" "2516" "3774" "5" "2.2" "0.866" "0.964495899845673" "0.91375355914115" "0.985487706642991"
"117" "2517" "3782" "5" "2.19" "0.622" "0.887089812701694" "0.822736858411649" "0.895610874027437"
"118" "2518" "3792" "5" "2.18" "0.888" "0.941689535172364" "0.875376833049813" "0.949269125698634"
"119" "2519" "3790" "5" "2.18" "0.93" "0.952790610147651" "0.915409018365779" "0.957594943987462"
"120" "2520" "3797" "5" "2.18" "0.518" "0.772927875753726" "0.622693593202761" "0.784730332591032"
"121" "2521" "3796" "5" "2.19" "0.784" "0.908134277666377" "0.812952409686095" "0.918544247356517"
"122" "2522" "3805" "5" "2.18" "0.92" "0.980933469642987" "0.955520032060584" "0.984529412267151"
"123" "2523" "3814" "4" "2.21" "0.964" "0.953370662384242" "0.950141886354665" "0.968628609119709"
"124" "2524" "3816" "4" "2.21" "0.952" "0.8956729719618" "0.842785438322645" "0.934793267071013"
"125" "2525" "3811" "4" "2.21" "0.39" "0.811028504421607" "0.644371147807264" "0.88728962264122"
"126" "2526" "3815" "4" "2.22" "0.646" "0.821502441827634" "0.724512155019469" "0.877791810673714"
"127" "2527" "3812" "4" "2.23" "0.896" "0.897705267589146" "0.867800496542092" "0.933510676893863"
"128" "2528" "3813" "4" "2.24" "0.584" "0.730793224932618" "0.672074247375057" "0.809888354139131"
"129" "2529" "3789" "5" "2.2" "0.9" "0.990093652500473" "0.975366470270373" "0.994976119261187"
"130" "2530" "3780" "4" "2.22" "0.736" "0.85434662647111" "0.815606518784957" "0.888589163667786"
"131" "2531" "3832" "4" "2.22" "0.844" "0.874858359709145" "0.855016874916336" "0.91438150803633"
"132" "2532" "3834" "4" "2.23" "0.96" "0.903023198483065" "0.877211843669813" "0.940587088483604"
"133" "2533" "3838" "4" "2.23" "0.868" "0.840358828964467" "0.80101548191646" "0.889365993283072"
"134" "2534" "3836" "5" "2.2" "0.87" "0.993831107062908" "0.983988627138385" "0.996123041923707"
"135" "2535" "3841" "5" "2.19" "0.928" "0.951913607406751" "0.886924718839837" "0.969768912119279"
"136" "2536" "3836" "5" "2.19" "0.954" "0.978410833274135" "0.947493243710112" "0.989175908783075"
"137" "2537" "3845" "5" "2.19" "0.82" "0.879402879800018" "0.741670073120796" "0.906848399717226"
"138" "2538" "3851" "5" "2.18" "0.84" "0.958482325647463" "0.908511668516383" "0.958691522110422"
"139" "2539" "3858" "5" "2.19" "0.818" "0.979496595969605" "0.952474619637211" "0.98225106322265"
"140" "2540" "3857" "5" "2.19" "0.902" "0.989474946948975" "0.97325224882315" "0.992405201014845"
"141" "2541" "3864" "6" "2.22" "0.724" "0.898745751874909" "0.85084336158678" "0.925386430818843"
"142" "2542" "3872" "5" "2.19" "0.85" "0.97478717933554" "0.938209243182741" "0.986661415171258"
"143" "2543" "3877" "4" "2.22" "0.946" "0.964154714292219" "0.946959737449083" "0.983691501923893"
"144" "2544" "3882" "4" "2.22" "0.98" "0.979425595509904" "0.96823578293125" "0.99141008613727"
"145" "2545" "3878" "4" "2.22" "0.994" "0.971278272486058" "0.982137606878165" "0.98883663101348"
"146" "2546" "3878" "5" "2.2" "1" "0.999924593882159" "0.999828394231442" "0.999982073835532"
"147" "2547" "3876" "4" "2.21" "0.996" "0.999594654956297" "0.999593821819326" "0.99991670547824"
"148" "2548" "3877" "4" "2.2" "0.994" "0.999825963832722" "0.99987141472184" "0.999953057225925"
"149" "2549" "3881" "4" "2.21" "0.998" "0.998183358142326" "0.996922927057935" "0.999589296535067"
"150" "2550" "3885" "4" "2.21" "1" "0.993237666950389" "0.995156939649215" "0.998151034565773"
"151" "2551" "3880" "4" "2.23" "0.534" "0.858928543064559" "0.779063360303035" "0.919804076558642"
"152" "2552" "3888" "5" "2.21" "0.658" "0.871780950394766" "0.766914989906285" "0.88199538098458"
"153" "2553" "3876" "4" "2.23" "0.58" "0.829521798382841" "0.738283414811536" "0.887257883729874"
"154" "2554" "3882" "4" "2.23" "0.716" "0.863943422152674" "0.753848244991193" "0.912050380844622"
"155" "2555" "3932" "4" "2.23" "0.886" "0.808385184617016" "0.791072605251396" "0.847664832346258"
"156" "2556" "3889" "4" "2.24" "0.584" "0.776880693807534" "0.68688751427404" "0.844163296023289"
"157" "2557" "3895" "4" "2.25" "0.798" "0.755964437794678" "0.671535693390855" "0.798051226454759"
"158" "2558" "3882" "4" "2.25" "0.564" "0.897126819303232" "0.877160989255202" "0.914713819178879"
"159" "2559" "3883" "4" "2.25" "0.856" "0.845770751172016" "0.820029049254205" "0.871690117610089"
"160" "2560" "3905" "4" "2.25" "0.692" "0.639618835556352" "0.525735336470872" "0.676971896796048"
"161" "2561" "3965" "4" "2.26" "0.624" "0.655280660596714" "0.535712194607687" "0.694659327557958"
"162" "2562" "3966" "5" "2.21" "0.656" "0.946913636263709" "0.875727951499944" "0.955549917380168"
"163" "2563" "3971" "5" "2.19" "0.448" "0.985417681093417" "0.967413936440029" "0.976079927687007"
"164" "2564" "3970" "5" "2.19" "0.72" "0.959360565704771" "0.953912536940118" "0.953916478929367"
"165" "2565" "3979" "5" "2.17" "0.97" "0.998992336399932" "0.998463768401423" "0.999132609475766"
"166" "2566" "3986" "5" "2.16" "0.978" "0.997422658482525" "0.993944171018316" "0.997640650422592"
"167" "2567" "3987" "5" "2.16" "0.886" "0.996903129350594" "0.992081197160226" "0.99656523224027"
"168" "2568" "3988" "5" "2.17" "0.802" "0.912587132386505" "0.82595348804471" "0.923924177150493"
"169" "2569" "3991" "5" "2.16" "0.738" "0.934065678905922" "0.8791023270152" "0.929075994715751"
"170" "2570" "4008" "5" "2.16" "0.93" "0.995421126984045" "0.987286554212755" "0.997018519602398"
"171" "2571" "4008" "5" "2.17" "0.82" "0.995134239569029" "0.992072049077126" "0.997176396203346"
"172" "2572" "4011" "5" "2.16" "0.912" "0.997069138011053" "0.993745109737691" "0.997300630584143"
"173" "2573" "4016" "5" "2.16" "0.974" "0.981463086548855" "0.979572016593721" "0.98186213417185"
"174" "2574" "4023" "5" "2.16" "0.894" "0.960563803941513" "0.924609443411734" "0.968380853333248"
"175" "2575" "4020" "5" "2.17" "0.718" "0.993043001282644" "0.983961022915059" "0.995325698472853"
"176" "2576" "4023" "5" "2.16" "0.686" "0.995163902025372" "0.986512336729844" "0.996184324838175"
"177" "2577" "4031" "5" "2.17" "0.646" "0.993810128807449" "0.983085821132342" "0.996103546906584"
"178" "2578" "4045" "5" "2.18" "0.31" "0.806378471141222" "0.707331448958145" "0.854032575666566"
"179" "2579" "4041" "5" "2.17" "0.79" "0.984089647391887" "0.967982580896613" "0.990065089365151"
"180" "2580" "4052" "5" "2.18" "0.43" "0.872972264901942" "0.816844431285775" "0.899323921410359"
"181" "2581" "4058" "5" "2.18" "0.886" "0.96466544780042" "0.927063486672639" "0.982340404626393"
"182" "2582" "4055" "5" "2.18" "0.722" "0.937862378262625" "0.875449896112023" "0.970911137402189"
"183" "2583" "4061" "5" "2.18" "0.878" "0.974930902835559" "0.943255103581745" "0.988967048078582"
"184" "2584" "4069" "5" "2.17" "0.908" "0.989695946376413" "0.972837347192267" "0.995770921444332"
"185" "2585" "4067" "5" "2.17" "0.848" "0.988171190354671" "0.970111337079597" "0.994677999559074"
"186" "2586" "4135" "5" "2.17" "0.864" "0.989987809853924" "0.976489997595048" "0.994187381838109"
"187" "2587" "4146" "5" "2.17" "0.922" "0.983027458760765" "0.961446169055545" "0.988408950425947"
"188" "2588" "4081" "5" "2.18" "0.778" "0.939910876419859" "0.902471684623167" "0.964963687295395"
"189" "2589" "4080" "6" "2.17" "0.532" "0.829349747030621" "0.641603872032685" "0.842032225991471"
"190" "2590" "4088" "5" "2.17" "0.878" "0.975254712833101" "0.941429806748069" "0.989266968045064"
