"Data" "n" "xmin" "alpha" "K" "W2" "U2" "A2"
"1" "2801" "4943" "12" "2.21" "0.748" "0.922288369824868" "0.806274895382563" "0.958052367837707"
"2" "2802" "4952" "12" "2.21" "0.522" "0.967452128715519" "0.909932535662232" "0.985029305848002"
"3" "2803" "4951" "13" "2.21" "0.462" "0.894264314776433" "0.745701517828853" "0.837533692950982"
"4" "2804" "4967" "13" "2.21" "0.536" "0.963114847523576" "0.897231631454804" "0.951600504069543"
"5" "2805" "5057" "6" "2.09" "0.048" "0.653860722675211" "0.57524470950433" "0.71133983607787"
"6" "2806" "4972" "18" "2.19" "0.556" "0.989483508111378" "0.966478426445349" "0.997377844832993"
"7" "2807" "4969" "16" "2.21" "0.478" "0.967759415797624" "0.926970531836937" "0.936570835992235"
"8" "2808" "4974" "6" "2.09" "0.112" "0.506692642877415" "0.486454455085187" "0.562776250832745"
"9" "2809" "4973" "12" "2.2" "0.358" "0.914937448254511" "0.788349758095466" "0.942274082057273"
"10" "2810" "4987" "13" "2.21" "0.654" "0.918997658090744" "0.802668157117726" "0.907184040903565"
"11" "2811" "4996" "6" "2.09" "0.12" "0.607824517480941" "0.559215681162844" "0.659211410387461"
"12" "2812" "5002" "16" "2.2" "0.798" "0.977225994907904" "0.939494768499002" "0.972644955728332"
"13" "2813" "4992" "13" "2.19" "0.076" "0.920138848359232" "0.8107746290366" "0.851959097822314"
"14" "2814" "4999" "12" "2.18" "0.538" "0.968122501423019" "0.918922013103328" "0.977197361917868"
"15" "2815" "5003" "19" "2.21" "0.286" "0.901703846666568" "0.759580671198956" "0.87418108772697"
"16" "2816" "5016" "12" "2.19" "0.694" "0.954765119849414" "0.893567476313397" "0.971613977081909"
"17" "2817" "5020" "14" "2.23" "0.684" "0.934663198269269" "0.852556765915454" "0.947743245598754"
"18" "2818" "5028" "17" "2.21" "0.432" "0.983723840774553" "0.950668218677153" "0.988953551204716"
"19" "2819" "5031" "18" "2.21" "0.292" "0.956760495367667" "0.883953545623748" "0.974111717933903"
"20" "2820" "5031" "14" "2.23" "0.53" "0.972651164441406" "0.934350754263753" "0.989506403799156"
"21" "2821" "5029" "13" "2.2" "0.45" "0.886358567146178" "0.733128597570129" "0.835039773456541"
"22" "2822" "5033" "13" "2.2" "0.002" "0.87788326700642" "0.71412875333427" "0.792917577591932"
"23" "2823" "5035" "12" "2.17" "0.352" "0.882076621877781" "0.777327018148702" "0.836226405499455"
"24" "2824" "5053" "13" "2.22" "0.938" "0.981963991055441" "0.961057591613286" "0.989089801339658"
"25" "2825" "5062" "13" "2.21" "0.838" "0.973635128439174" "0.9278486698802" "0.960377846174805"
"26" "2826" "5081" "13" "2.22" "0.828" "0.92995511024293" "0.897424071191763" "0.968116430875752"
"27" "2827" "5072" "13" "2.22" "0.468" "0.923248184958733" "0.819559655663739" "0.906285169504633"
"28" "2828" "5080" "13" "2.22" "0.11" "0.955253944155269" "0.935039173850263" "0.977447990075595"
"29" "2829" "5083" "13" "2.22" "0.764" "0.99136685672579" "0.974955241316369" "0.996728733871531"
"30" "2830" "5097" "13" "2.21" "0.478" "0.97441554523308" "0.935548274454209" "0.974266641748676"
"31" "2831" "5105" "13" "2.2" "0.62" "0.987946381722548" "0.962388824495432" "0.984908534869904"
"32" "2832" "5127" "13" "2.2" "0.762" "0.988009831228355" "0.966057479120459" "0.991342014554828"
"33" "2833" "5125" "6" "2.09" "0.524" "0.811598621316338" "0.721641293721733" "0.860803926858899"
"34" "2834" "5129" "13" "2.19" "0.796" "0.996231308177196" "0.987260504068365" "0.996384683723396"
"35" "2835" "5132" "13" "2.19" "0.732" "0.991736147430557" "0.974102539637359" "0.986589865385563"
"36" "2836" "5138" "13" "2.21" "0.938" "0.998935416320921" "0.996692914078242" "0.999733620000815"
"37" "2837" "5150" "13" "2.19" "0.8" "0.981017265822245" "0.947263330207526" "0.959477454249452"
"38" "2838" "4818" "13" "2.2" "0.482" "0.987533326615663" "0.980370360751875" "0.993787739879536"
"39" "2839" "5162" "13" "2.2" "0.856" "0.997593381691628" "0.991496495606194" "0.997493325196277"
"40" "2840" "5158" "13" "2.2" "0.852" "0.992294722562928" "0.975892717502223" "0.995947448439795"
"41" "2841" "5160" "14" "2.2" "0.726" "0.984934367685106" "0.954673570340607" "0.991628756778744"
"42" "2842" "5176" "6" "2.09" "0.4" "0.809686143140205" "0.777394743048085" "0.864300553933313"
"43" "2843" "5172" "13" "2.19" "0.692" "0.992228813690221" "0.974607719779501" "0.996708700254258"
"44" "2844" "5177" "13" "2.2" "0.268" "0.997421418193174" "0.990918774068066" "0.999450971151318"
"45" "2845" "5179" "5" "2.14" "0.322" "0.582608201017488" "0.369653660159273" "0.625503270384746"
"46" "2846" "5186" "6" "2.1" "0.266" "0.728110145707545" "0.586833609330028" "0.783246201895748"
"47" "2847" "5191" "6" "2.09" "0.14" "0.657213613941796" "0.468621316388149" "0.703739680523023"
"48" "2848" "5188" "8" "2.13" "0.382" "0.896118156041475" "0.829839767389445" "0.93476220474187"
"49" "2849" "5198" "14" "2.2" "0.518" "0.993972023581869" "0.980390624294917" "0.997962299066416"
"50" "2850" "5190" "6" "2.09" "0.312" "0.583863086875233" "0.471891099080094" "0.670815398453768"
"51" "2851" "5193" "6" "2.09" "0.16" "0.597366475305682" "0.477883660182299" "0.687331055145684"
"52" "2852" "5202" "8" "2.13" "0.43" "0.820168259366366" "0.768832039003893" "0.828110743136577"
"53" "2853" "5208" "14" "2.2" "0.616" "0.97743887888262" "0.933825029972455" "0.986244496148961"
"54" "2854" "5216" "6" "2.1" "0.504" "0.754005423697235" "0.679211658577542" "0.821184643165251"
"55" "2855" "5214" "6" "2.09" "0.38" "0.786146070343386" "0.747839612704578" "0.842335681704791"
