"Data" "n" "xmin" "alpha" "K" "W2" "U2" "A2"
"1" "3201" "72" "10" "2.95" "0.44" "0.902037779228752" "0.894787461217063" "0.902990172725828"
"2" "3202" "72" "10" "2.95" "0.406" "0.902037779228752" "0.894787461217063" "0.902990172725828"
"3" "3203" "160" "16" "2.78" "0.008" "0.168587078048959" "0.0295237665524964" "0.215523892925219"
"4" "3204" "139" "5" "2.11" "0" "0.0693944311637004" "0.00592694418403256" "0.0646199310018798"
"5" "3205" "304" "22" "3.5" "0.972" "0.932239218468008" "0.997643656326621" "0.962187637719338"
"6" "3206" "279" "2" "1.96" "0.014" "0.432434053544879" "0.253975159645199" "0.3799856577524"
"7" "3207" "406" "14" "2.58" "0.346" "0.589914264756685" "0.322405005606993" "0.658250310476758"
"8" "3208" "314" "2" "3.3" "0" "0.00187223273568371" "0.000604031277440868" "0.00139894587412819"
"9" "3209" "406" "3" "1.96" "0.018" "0.404101437820692" "0.159725108270666" "0.350020366773245"
"10" "3210" "399" "2" "3.5" "0" "1.85711658212103e-19" "4.8580933276766e-20" "3.81044852207544e-20"
"11" "3211" "165" "16" "2.59" "0.03" "0.223233696425885" "0.0793466947046987" "0.219370915781328"
"12" "3212" "125" "14" "3.37" "0.75" "0.710399420801022" "0.51403243227773" "0.678078782654716"
"13" "3213" "322" "9" "2.13" "0.004" "0.217810896794378" "0.0780959350481256" "0.211809457470125"
"14" "3214" "296" "2" "1.9" "0.152" "0.492638362736796" "0.275771542886159" "0.458043048735763"
"15" "3215" "304" "8" "2.44" "0.574" "0.860232344811503" "0.682833397913496" "0.91764374606098"
"16" "3216" "239" "2" "2.57" "0" "0.148371733347487" "0.0225990504307684" "0.125651149341454"
"17" "3217" "262" "2" "1.68" "0" "0.103690858999542" "0.0141961095435035" "0.07227332782538"
"18" "3218" "241" "2" "2.18" "0.76" "0.98054024477059" "0.957750463271684" "0.962243255527404"
"19" "3219" "223" "14" "2.49" "0.252" "0.677227499626975" "0.488339312176794" "0.679167933116928"
"20" "3220" "183" "2" "2.11" "0.46" "0.755205140140781" "0.721784645336007" "0.77221312060752"
"21" "3221" "285" "2" "1.81" "0" "0.130724100467449" "0.0240266388272979" "0.112006700042256"
"22" "3222" "208" "3" "2.17" "0.384" "0.906683697551288" "0.921588388705027" "0.927115908677846"
"23" "3223" "107" "2" "1.9" "0.008" "0.304084689018928" "0.102507535897494" "0.26695702866328"
"24" "3224" "92" "3" "2.35" "0.296" "0.806800118699989" "0.640287606267516" "0.745097450252803"
"25" "3225" "382" "3" "2.01" "0.058" "0.551458448222087" "0.331966759911842" "0.594072171187509"
"26" "3226" "369" "2" "3.5" "0" "0.000365946782603201" "0.000235782557592993" "7.80107358172971e-22"
"27" "3227" "97" "7" "2.51" "0.04" "0.453767723238709" "0.194324559620501" "0.508988356608266"
"28" "3228" "74" "2" "1.96" "0.032" "0.253046006963383" "0.0389722276840579" "0.373730823866968"
"29" "3229" "89" "2" "1.67" "0" "0.00645343564691292" "0.000213362856498901" "0.0145287762233013"
"30" "3230" "68" "8" "3.5" "0.014" "0.418902767659157" "0.0849558417697853" "0.624986060495415"
"31" "3231" "68" "8" "2.97" "0.248" "0.793723274447009" "0.551214548473532" "0.823973179529385"
"32" "3232" "176" "5" "2.92" "0.544" "0.829366005872255" "0.668641684613965" "0.830904120561862"
"33" "3233" "148" "2" "2.73" "0.062" "0.601080626609745" "0.471827169931232" "0.645298899377594"
"34" "3234" "165" "3" "2.78" "0.062" "0.42382826977382" "0.257099801252648" "0.364173159200491"
"35" "3235" "141" "2" "2.93" "0" "0.25108230807851" "0.177962336179191" "0.151986625176582"
"36" "3236" "156" "5" "2.63" "0.134" "0.402461821481435" "0.161637274953876" "0.49465487458017"
"37" "3237" "123" "6" "3.5" "0.988" "0.978655840222942" "0.98275183758064" "0.992804901418285"
"38" "3238" "178" "4" "2.58" "0.646" "0.737652948836256" "0.493496565959069" "0.779359924008234"
"39" "3239" "135" "2" "2.38" "0.984" "0.986499927913215" "0.959710735926627" "0.996343308599667"
"40" "3240" "200" "2" "2.36" "0.106" "0.468477675308212" "0.275427067297574" "0.474364611452047"
"41" "3241" "185" "2" "3.42" "0" "0.00469297174938588" "0.00464918212693211" "0.00166835295270712"
"42" "3242" "167" "6" "2.98" "0.15" "0.507728876510357" "0.294416167027959" "0.511402534486079"
"43" "3243" "138" "3" "2.59" "0.33" "0.599805584717656" "0.385252890786488" "0.634279300926593"
"44" "3244" "52" "4" "3.5" "0.04" "0.277529256436695" "0.363399061640808" "0.27089616659772"
"45" "3245" "45" "3" "3.34" "0.614" "0.723805387641774" "0.505771340077619" "0.702029534439621"
"46" "3246" "163" "10" "3.5" "0.098" "0.462382904915438" "0.1755764260814" "0.430811369381045"
"47" "3247" "132" "3" "2.48" "0.316" "0.652705619447007" "0.433467950547159" "0.685827448337826"
"48" "3248" "160" "13" "3.5" "0.228" "0.677984281257273" "0.386846888245297" "0.695322490313086"
"49" "3249" "131" "2" "2.06" "0.004" "0.183638867907029" "0.0212327344411123" "0.165494958323135"
"50" "3250" "106" "16" "3.36" "0" "0.480610260299595" "0.222294782131136" "0.500438826028016"
"51" "3251" "74" "6" "2.35" "0.054" "0.561355578421057" "0.2441677301211" "0.650525224460138"
"52" "3252" "169" "8" "2.65" "0.474" "0.887255812951885" "0.813730446022278" "0.859692041774493"
"53" "3253" "132" "3" "2.39" "0.894" "0.944200307450589" "0.87887686905514" "0.944360837702962"
"54" "3254" "206" "2" "1.83" "0" "0.101651492571599" "0.0209526634573517" "0.085434452058419"
"55" "3255" "187" "2" "2.19" "0" "0.430989099677515" "0.261095913425466" "0.397091519165241"
"56" "3256" "195" "7" "2.5" "0.062" "0.725041617599292" "0.563877179710151" "0.744568367169912"
"57" "3257" "172" "2" "2.35" "0.018" "0.38383315095833" "0.166880913753688" "0.369679633678824"
"58" "3258" "203" "6" "2.41" "0.188" "0.629641144339276" "0.490320586991414" "0.602144526547381"
"59" "3259" "179" "4" "2.56" "0.006" "0.760226297258016" "0.598233721004358" "0.779074784852527"
"60" "3260" "149" "11" "3.05" "0.314" "0.626300122424969" "0.442174802082022" "0.57125789969166"
"61" "3261" "125" "8" "3.14" "0.798" "0.942124009547888" "0.882484311349498" "0.951207741315549"
"62" "3262" "185" "2" "1.97" "0.01" "0.479332408980545" "0.206388519653105" "0.370855086175294"
"63" "3263" "164" "2" "2.31" "0.278" "0.778586473264451" "0.708267596836112" "0.842280555419652"
"64" "3264" "145" "10" "2.44" "0" "0.301681019022785" "0.0980706908880964" "0.235325866947313"
"65" "3265" "122" "2" "1.88" "0.008" "0.689187537795639" "0.46536145135069" "0.645721820575058"
"66" "3266" "57" "2" "2.07" "0.098" "0.077739452494499" "0.00631310895695769" "0.073318202901434"
"67" "3267" "55" "2" "2.35" "0.356" "0.800455725755362" "0.612320917665002" "0.72783301780629"
"68" "3268" "200" "2" "2.33" "0.936" "0.878119551524497" "0.779133181061366" "0.865740262699262"
"69" "3269" "182" "2" "3.43" "0.01" "0.0588013060897081" "0.0731769941909092" "5.80667850815305e-05"
"70" "3270" "148" "9" "2.72" "0.558" "0.866738445454665" "0.684938200963588" "0.880181746818737"
"71" "3271" "119" "3" "2.29" "0.216" "0.506465606747093" "0.214676731105828" "0.592159264518896"
"72" "3272" "209" "5" "2.75" "0.948" "0.892453861087953" "0.783912783308934" "0.893086637834398"
"73" "3273" "175" "2" "2.46" "0.012" "0.124077961401234" "0.0187185527828158" "0.139986528001216"
"74" "3274" "218" "3" "2.51" "0.022" "0.379994295804209" "0.167235770270377" "0.344309796061235"
"75" "3275" "189" "2" "3.33" "0.004" "0.0387065116208587" "0.0396119498623584" "0.000919924179580738"
"76" "3276" "185" "8" "2.72" "0.558" "0.949665239744869" "0.894163624664268" "0.974829356350385"
"77" "3277" "152" "2" "2.19" "0.448" "0.821837072185285" "0.700619770031881" "0.830317515675411"
"78" "3278" "233" "2" "2.55" "0.234" "0.391776634236575" "0.171744282388076" "0.394289018121121"
"79" "3279" "227" "2" "3.5" "0" "1.60098035302032e-06" "1.11811114945722e-06" "7.27244964989648e-07"
"80" "3280" "159" "8" "2.97" "0.95" "0.992452508720368" "0.996882858377468" "0.988219518638137"
"81" "3281" "135" "4" "2.75" "0.44" "0.926888082790284" "0.870677218593196" "0.892560921134572"
"82" "3282" "173" "3" "2.37" "0.524" "0.701550347110144" "0.560510415583973" "0.709870140184722"
"83" "3283" "141" "4" "2.42" "0.568" "0.991963577913219" "0.998237375549696" "0.988189503010329"
"84" "3284" "127" "12" "3.01" "0.604" "0.95896161004019" "0.929357789124706" "0.988926000409567"
"85" "3285" "100" "6" "2.41" "0.002" "0.896709678054544" "0.728583985776997" "0.908087054089055"
"86" "3286" "162" "2" "1.99" "0.148" "0.569159706965072" "0.348771967188731" "0.594554319678406"
"87" "3287" "130" "2" "2.14" "0.138" "0.864562447881921" "0.747089806141884" "0.922064614284724"
"88" "3288" "94" "2" "2.11" "0.266" "0.553687733658106" "0.370067661391032" "0.500375219547807"
"89" "3289" "79" "2" "2.38" "0.856" "0.917996019753216" "0.978134439170508" "0.939843748031736"
"90" "3290" "184" "12" "3.29" "0.104" "0.661210199674623" "0.408195142838852" "0.569519652602638"
"91" "3291" "164" "2" "2.28" "0.486" "0.967778702793527" "0.930903459445893" "0.964808619706155"
"92" "3292" "227" "2" "2.5" "0.046" "0.256607075495932" "0.224930616554956" "0.313949935596141"
"93" "3293" "171" "2" "3.5" "0" "0.000218513226441495" "0.000155347615672974" "2.85127134079852e-05"
"94" "3294" "200" "5" "2.7" "0.418" "0.960745660931193" "0.907436352695795" "0.938713885402309"
"95" "3295" "174" "2" "2.5" "0.17" "0.681534960036324" "0.513090442175637" "0.677767292082551"
"96" "3296" "241" "2" "2.08" "0.086" "0.354479587178598" "0.174950642383671" "0.349736076830299"
"97" "3297" "215" "2" "2.83" "0" "0.0319315409108201" "0.0282867883889113" "0.0225410246273014"
"98" "3298" "297" "2" "2.87" "0" "0.00729530394945951" "2.18514015008681e-06" "0.00247376497109217"
"99" "3299" "296" "2" "2.9" "0" "0.00972885790342842" "4.19251323353209e-06" "0.00291792294768024"
"100" "3300" "214" "5" "2.24" "0" "0.13110816687034" "0.0308790485058945" "0.117804466010515"
"101" "3301" "179" "2" "2.13" "0.024" "0.538628475909004" "0.397218505995097" "0.46143331518031"
"102" "3302" "261" "3" "2.11" "0.222" "0.767020452969436" "0.630239676402577" "0.689590156198937"
"103" "3303" "226" "2" "2.49" "0.006" "0.357390577663867" "0.331890799268406" "0.426751453594288"
"104" "3304" "297" "2" "2.7" "0.002" "0.169103005135316" "0.0327101736167216" "0.113346284624294"
"105" "3305" "296" "2" "3.17" "0" "0.130233095039127" "0.0796027877169352" "0.0396024675507299"
"106" "3306" "275" "5" "2.42" "0.468" "0.699000404605063" "0.561196548577357" "0.663671810790028"
"107" "3307" "253" "2" "2.66" "0.076" "0.527663926136757" "0.654283870661606" "0.457568722079816"
"108" "3308" "328" "2" "2.37" "0.366" "0.472514494564832" "0.30783365985568" "0.500505791973216"
"109" "3309" "324" "2" "3.5" "0" "0.0178976441017524" "0.0237844612898782" "0.010584666244303"
"110" "3310" "104" "2" "2.38" "0.75" "0.912982391010407" "0.855747087774611" "0.928113959845231"
"111" "3311" "102" "2" "2.59" "0.068" "0.270017583600006" "0.243095988792629" "0.317195786083495"
"112" "3312" "316" "2" "3.5" "0" "0.0222280446106523" "0.021135591856296" "0.00398994954333054"
"113" "3313" "336" "2" "2.49" "0" "0.00511027241151141" "0.000625009674862826" "0.00462636074530698"
"114" "3314" "336" "2" "2.86" "0" "0.00995346846062112" "0.00262236823073389" "0.00332201791168413"
"115" "3315" "297" "4" "2.34" "0.1" "0.625488120529324" "0.355505229662442" "0.614408954471814"
"116" "3316" "241" "2" "2.77" "0.006" "0.0297565053565221" "0.0136444600341885" "0.0372900817784688"
"117" "3317" "294" "3" "2.15" "0.86" "0.93344683570326" "0.882055516667316" "0.931121095140336"
"118" "3318" "242" "3" "2.37" "0.294" "0.794388384692128" "0.668613742382586" "0.770725068023407"
"119" "3319" "358" "6" "2.13" "0.852" "0.962980437717375" "0.967304409305534" "0.978041623749869"
"120" "3320" "357" "2" "2.43" "0.006" "0.228702967694176" "0.0536381878058332" "0.199057296075817"
