"Data" "n" "xmin" "alpha" "K" "W2" "U2" "A2"
"1" "1" "62" "4" "2.63" "0.584" "0.504713887673138" "0.248405278660612" "0.54995626354552"
"2" "2" "22" "4" "2.94" "0.352" "0.446559339393673" "0.111991097281244" "0.575593473320707"
"3" "3" "36" "4" "2.58" "0.352" "0.752825981248711" "0.499966945362439" "0.876240594662335"
"4" "4" "9" "2" "2.62" "0.776" "0.797439958848555" "0.899967652824891" "0.894458301841148"
"5" "5" "7" "2" "2.08" "0.166" "0.388491949337757" "0.0510461096698782" "0.641849171481719"
"6" "6" "8" "2" "2.23" "0.162" "0.497997748068881" "0.130601217397298" "0.732903473934553"
"7" "7" "10" "3" "2.94" "0.98" "0.880003928914541" "0.845628274046314" "0.982774985053746"
"8" "8" "32" "3" "2.78" "0.692" "0.859200444638837" "0.970311776923591" "0.8492963019334"
"9" "9" "107" "2" "2.2" "0.228" "0.439720966175718" "0.187521956315007" "0.531350943502419"
"10" "10" "107" "2" "2.2" "0.24" "0.439720966175718" "0.187521956315007" "0.531350943502419"
"11" "11" "735323" "11" "3.5" "0" "0" "4.44032572883985e-182" "0"
"12" "12" "400727" "19" "3.04" "0.092" "0.700568387421764" "0.702281870937257" "0.565555892491658"
"13" "13" "388374" "3" "1.85" "0" "0" "0" "0"
"14" "14" "400727" "49" "3.36" "0.53" "0.895375625515825" "0.769996656438281" "0.901426833650348"
"15" "15" "410235" "21" "3.04" "0.26" "0.664344916468307" "0.509638643666521" "0.627469542662006"
"16" "16" "396803" "2" "1.61" "0" "0" "0" "0"
"17" "17" "410236" "51" "3.39" "0.124" "0.47969424598084" "0.430440886033009" "0.503442611096182"
"18" "18" "403312" "19" "3.04" "0.94" "0.95459115414928" "0.883037827999771" "0.940729760212693"
"19" "19" "402439" "2" "1.61" "0" "0" "0" "0"
"20" "20" "403394" "53" "3.39" "0.106" "0.422629922632134" "0.217846799626664" "0.439227758700713"
"21" "21" "186" "5" "2.63" "0.448" "0.886131122882178" "0.727487302098187" "0.934776793602818"
"22" "22" "103" "5" "3.17" "0.272" "0.749530430313526" "0.452258377414974" "0.828247997729833"
"23" "23" "69" "3" "2.68" "0.382" "0.753474410427923" "0.528137033191363" "0.795819005885821"
"24" "24" "114" "3" "2.02" "0.026" "0.880776435017382" "0.750933522993923" "0.896068907719338"
"25" "25" "40" "6" "2.7" "0.346" "0.624573880924476" "0.270227449269084" "0.677175607221283"
"26" "26" "1001" "2" "2.41" "0" "0.0639797492816214" "0.018944459154362" "0.0473181968425238"
"27" "27" "1001" "2" "2.41" "0" "0.0639797492816214" "0.018944459154362" "0.0473181968425238"
"28" "28" "4531" "2" "1.88" "0" "3.58224368856164e-10" "6.48142074420252e-10" "6.2269938990566e-09"
"29" "29" "4489" "8" "2.27" "0" "0.00840360413289748" "0.0011903235815422" "0.00661158921992205"
"30" "30" "7526" "35" "3.5" "0.04" "0.430381992967126" "0.143844832494792" "0.332856942052932"
"31" "31" "7474" "35" "3.5" "0.032" "0.387248779394865" "0.12374046756775" "0.307738524065807"
