"Data" "n" "xmin" "alpha" "K" "W2" "U2" "A2"
"1" "401" "21734" "6" "2.09" "0.62" "0.83037202288177" "0.667187301604862" "0.905336637162442"
"2" "402" "21734" "6" "2.09" "0.588" "0.83037202288177" "0.667187301604862" "0.905336637162442"
"3" "403" "21734" "32" "2.1" "0.754" "0.846717193354195" "0.897699251211122" "0.637795006051902"
"4" "404" "21752" "6" "2.12" "0.236" "0.644937783832299" "0.45226857440336" "0.748464216113714"
"5" "405" "1198" "6" "2.19" "0.034" "0.497267494272346" "0.482724567324707" "0.405717233718145"
"6" "406" "1198" "6" "2.19" "0.056" "0.497267494272346" "0.482724567324707" "0.405717233718145"
"7" "407" "1198" "10" "2.17" "0.004" "0.119018854228859" "0.236964096341449" "0.0811895024293928"
"8" "408" "21752" "6" "2.12" "0.236" "0.644937783832299" "0.45226857440336" "0.748464216113714"
"9" "409" "342" "8" "2.57" "0.76" "0.763022027777103" "0.989002616155023" "0.707390290194918"
"10" "410" "21861" "6" "2.08" "0.814" "0.898680902640114" "0.780838924104927" "0.897351210030795"
"11" "411" "21861" "6" "2.08" "0.854" "0.898680902640114" "0.780838924104927" "0.897351210030795"
"12" "412" "21861" "30" "2.1" "0.502" "0.872090530687986" "0.927993533884811" "0.626309025143205"
"13" "413" "21775" "6" "2.11" "0.512" "0.825669055128003" "0.650632048877202" "0.866208725524028"
"14" "414" "1192" "4" "2.06" "0.194" "0.538373086017754" "0.281363558237286" "0.516116818038025"
"15" "415" "1192" "4" "2.06" "0.198" "0.538373086017754" "0.281363558237286" "0.516116818038025"
"16" "416" "1192" "12" "2.15" "0.008" "0.0787387362814475" "0.0738762592215312" "0.0393900879274998"
"17" "417" "21775" "6" "2.11" "0.506" "0.825669055128003" "0.650632048877202" "0.866208725524028"
"18" "418" "342" "2" "3.5" "0" "3.890821513561e-05" "1.51626102383908e-05" "7.67939476171578e-05"
"19" "419" "21885" "6" "2.08" "0.972" "0.972259473547612" "0.928312944628535" "0.979666793461923"
"20" "420" "21885" "6" "2.08" "0.986" "0.972259473547612" "0.928312944628535" "0.979666793461923"
"21" "421" "21885" "52" "2.09" "0.666" "0.90161858280398" "0.801579062680737" "0.935970187480111"
"22" "422" "21796" "6" "2.12" "0.276" "0.705495489333858" "0.502898222482608" "0.785926970027749"
"23" "423" "1183" "5" "2.09" "0.094" "0.394313937849631" "0.12670796365817" "0.3420911896814"
"24" "424" "1183" "5" "2.09" "0.094" "0.394313937849631" "0.12670796365817" "0.3420911896814"
"25" "425" "1183" "10" "2.15" "0.04" "0.164774143327223" "0.253395182728501" "0.0923204263310367"
"26" "426" "21796" "6" "2.12" "0.236" "0.705495489333858" "0.502898222482608" "0.785926970027749"
"27" "427" "337" "2" "3.5" "0.6" "0.000130348771060019" "4.70948691115346e-05" "0.000247604928710164"
"28" "428" "21901" "6" "2.09" "0.97" "0.971860186661099" "0.971211844088606" "0.979329327376417"
"29" "429" "21901" "6" "2.09" "0.978" "0.971860186661099" "0.971211844088606" "0.979329327376417"
"30" "430" "21901" "30" "2.1" "0.754" "0.737034288388718" "0.854709213908923" "0.392643169687393"
"31" "431" "21922" "6" "2.11" "0.524" "0.662170715312247" "0.40638507943413" "0.652818448865515"
"32" "432" "1222" "5" "2.12" "0.072" "0.804446323615424" "0.605214967639672" "0.742157902402265"
"33" "433" "1222" "5" "2.12" "0.082" "0.804446323615424" "0.605214967639672" "0.742157902402265"
"34" "434" "1222" "8" "2.11" "0.004" "0.167161951467473" "0.246836887154096" "0.0832245224784737"
"35" "435" "21922" "6" "2.11" "0.52" "0.662170715312247" "0.40638507943413" "0.652818448865515"
"36" "436" "345" "2" "3.5" "0" "1.51001930912195e-05" "3.26016324178625e-06" "3.3213728358698e-05"
"37" "437" "22030" "5" "2.1" "0.804" "0.829004633355857" "0.647423990089664" "0.843017905175288"
"38" "438" "22030" "5" "2.1" "0.808" "0.829004633355857" "0.647423990089664" "0.843017905175288"
"39" "439" "22030" "48" "2.11" "0.612" "0.815520732832182" "0.798255689638977" "0.547201490294501"
"40" "440" "21965" "5" "2.14" "0.292" "0.491418431385787" "0.25577677703942" "0.489858832153075"
"41" "441" "1259" "5" "2.11" "0.51" "0.749306221250641" "0.516430313504516" "0.724500273446363"
