"Data" "n" "xmin" "alpha" "K" "W2" "U2" "A2"
"1" "2001" "813" "3" "2.84" "0.302" "0.415377341528763" "0.248243559131794" "0.452001152382921"
"2" "2002" "74" "6" "2.99" "0.108" "0.589889700241104" "0.273054925216938" "0.616131748110196"
"3" "2003" "74" "6" "2.99" "0.13" "0.589889700241104" "0.273054925216938" "0.616131748110196"
"4" "2004" "32" "2" "2.38" "0.658" "0.80745959542049" "0.522890189098662" "0.947010909019199"
"5" "2005" "37" "7" "3.5" "0.196" "0.372113690570246" "0.927284164913335" "0.452260156157934"
"6" "2006" "33" "4" "3.25" "0.926" "0.947415253062575" "0.842466560321547" "0.981365755089713"
"7" "2007" "24" "3" "3.01" "0.56" "0.844936840180437" "0.982842221042965" "0.848646725622637"
"8" "2008" "767" "3" "1.94" "0" "0.51339947715946" "0.411465272174486" "0.497681866047373"
"9" "2009" "147" "2" "2.06" "0.3" "0.58328054670725" "0.399780884908442" "0.647060709566944"
"10" "2010" "94" "2" "2.8" "0" "0.104305793009274" "0.11509095909242" "0.0904986147979708"
"11" "2011" "69" "2" "2.24" "0.034" "0.916688044793666" "0.894625554856896" "0.890201151086038"
"12" "2012" "62" "2" "2.06" "0.002" "0.107107310347464" "0.00683292802510782" "0.132798601830252"
"13" "2013" "44" "2" "2.69" "0.188" "0.428985195667543" "0.133896470443693" "0.514168972598486"
"14" "2014" "21" "3" "3.5" "0" "0.0451538923943965" "0.276033729852268" "0.0269427336440903"
"15" "2015" "77" "12" "3.5" "0.766" "0.939382368493952" "0.980779637169926" "0.930801429810667"
"16" "2016" "159" "2" "2.22" "0.016" "0.987228178811082" "0.96823037115298" "0.971517860477564"
"17" "2017" "39" "2" "2.8" "0.006" "0.107379707262765" "0.00463136402533487" "0.176003911089483"
"18" "2018" "104" "7" "2.53" "0.264" "0.855269478442401" "0.698288643928766" "0.842315300987845"
"19" "2019" "926" "8" "2.22" "0.092" "0.734164978379707" "0.733363633202384" "0.720789741532432"
"20" "2020" "909" "3" "2.66" "0" "0.0282504858687183" "0.00448235080333083" "0.0213368047165313"
"21" "2021" "1362" "4" "2.76" "0" "0.0475838021054498" "0.0136805476511971" "0.0304595330736589"
"22" "2022" "805" "3" "2.59" "0.04" "0.180604600484727" "0.0267225034873518" "0.148989070559594"
"23" "2023" "1589" "4" "2.83" "0" "0.0548825937174756" "0.0330963370652113" "0.039692048876671"
"24" "2024" "1561" "4" "2.74" "0" "0.217144319676241" "0.130144558976644" "0.103305670140505"
"25" "2025" "1593" "4" "2.83" "0" "0.0518053455522376" "0.0323599690589155" "0.0378602026842926"
"26" "2026" "664" "4" "2.73" "0" "0.107002986054444" "0.0657326035558967" "0.113621620105503"
"27" "2027" "505" "2" "2.35" "0.03" "0.272894662921885" "0.135338438592057" "0.291540550744903"
"28" "2028" "1267" "4" "2.69" "0.028" "0.102257680406726" "0.116501947093" "0.0936189532285825"
"29" "2029" "1746" "4" "2.85" "0" "0.0312896728258494" "0.028045447972761" "0.0187501365178266"
"30" "2030" "854" "4" "2.52" "0.284" "0.565810363388616" "0.378366149573057" "0.561828707737131"
"31" "2031" "1574" "4" "2.76" "0" "0.0787796383750213" "0.0395024038068581" "0.0514450851748436"
"32" "2032" "1405" "4" "2.78" "0" "0.0369496099773822" "0.0124819249504234" "0.026443016894554"
"33" "2033" "1380" "5" "2.59" "0.004" "0.130898370812111" "0.118996446839869" "0.0879247575249218"
"34" "2034" "638" "4" "2.73" "0.008" "0.19002433952633" "0.158183367701733" "0.199313247912162"
"35" "2035" "1081" "4" "2.6" "0.044" "0.452181683318601" "0.547396742781355" "0.40173451507597"
"36" "2036" "1421" "4" "2.79" "0" "0.0414768626998426" "0.0244812899400965" "0.0297605219116968"
"37" "2037" "1166" "4" "2.7" "0.026" "0.182970088030472" "0.260673170729055" "0.145613227922304"
"38" "2038" "1307" "4" "2.76" "0" "0.0928522053764226" "0.0558024957147895" "0.0569163945209409"
"39" "2039" "1379" "4" "2.76" "0" "0.105712131320908" "0.0898688211710138" "0.0784847513093562"
"40" "2040" "851" "6" "2.45" "0.112" "0.373300285724408" "0.434478404807916" "0.318160077994814"
"41" "2041" "650" "6" "2.4" "0.322" "0.608682225157608" "0.654143027006035" "0.600941835005328"
"42" "2042" "659" "6" "2.38" "0.662" "0.887725428351166" "0.917578101584845" "0.914398988682225"
"43" "2043" "1068" "4" "2.66" "0.044" "0.102427729086634" "0.10515958021625" "0.0956267737359927"
"44" "2044" "660" "6" "2.4" "0.51" "0.906932715990001" "0.939871056151389" "0.925921607895816"
"45" "2045" "660" "6" "2.39" "0.518" "0.874607103201741" "0.907782216632023" "0.907054853409369"
"46" "2046" "1000" "9" "2.13" "0.244" "0.778779148916109" "0.603070763225896" "0.824913029686639"
"47" "2047" "652" "2" "2.33" "0" "0.0218340732605251" "0.00111959675751805" "0.0186413028174359"
"48" "2048" "1372" "4" "2.71" "0" "0.0523201390108972" "0.0527075126281093" "0.043332950832307"
"49" "2049" "1185" "4" "2.66" "0.004" "0.235966994338477" "0.152190273325734" "0.223526749425002"
"50" "2050" "1533" "4" "2.75" "0" "0.0784715278272691" "0.0670789699830233" "0.0632863119634569"
"51" "2051" "1604" "4" "2.79" "0" "0.0469008084215385" "0.0336719669337858" "0.0370154920833025"
"52" "2052" "1635" "4" "2.79" "0" "0.0750998944540638" "0.0754753355551445" "0.0548141988085285"
"53" "2053" "1641" "4" "2.79" "0" "0.0774046451881874" "0.0838184633364406" "0.0567606809449649"
"54" "2054" "1601" "4" "2.8" "0" "0.0547028604560906" "0.0334268769367022" "0.0426196216569549"
"55" "2055" "1031" "4" "2.67" "0.004" "0.111201952819054" "0.0847394962463982" "0.107403724768129"
