"Data" "n" "xmin" "alpha" "K" "W2" "U2" "A2"
"1" "801" "1175" "5" "2.18" "0.244" "0.56082729598662" "0.60039663027512" "0.472096214757948"
"2" "802" "1175" "5" "2.18" "0.254" "0.56082729598662" "0.60039663027512" "0.472096214757948"
"3" "803" "1175" "8" "2.16" "0" "0.0859692963736297" "0.16536880842831" "0.058905411589231"
"4" "804" "24169" "6" "2.1" "0.57" "0.664745444028058" "0.604506463986142" "0.616795110917616"
"5" "805" "340" "2" "3.5" "0" "0.000150865113034978" "4.89292341888118e-05" "0.000283521563383095"
"6" "806" "24267" "7" "2.1" "0.89" "0.965986900159175" "0.918558843146076" "0.971653566115595"
"7" "807" "24267" "7" "2.1" "0.894" "0.965986900159175" "0.918558843146076" "0.971653566115595"
"8" "808" "24267" "34" "2.11" "0.338" "0.721189193366329" "0.617821826913675" "0.806755558363377"
"9" "809" "24201" "6" "2.1" "0.176" "0.813478733986237" "0.638560170806532" "0.79222818034031"
"10" "810" "1257" "5" "2.14" "0.494" "0.768110777921856" "0.78247458341201" "0.710554374700438"
"11" "811" "1257" "5" "2.14" "0.464" "0.768110777921856" "0.78247458341201" "0.710554374700438"
"12" "812" "1257" "8" "2.13" "0" "0.136126043950111" "0.210218969370535" "0.0886578078205056"
"13" "813" "24201" "6" "2.1" "0.216" "0.813478733986237" "0.638560170806532" "0.79222818034031"
"14" "814" "340" "2" "3.5" "0" "0.000151486830688531" "4.24787022775781e-05" "0.000288193954539462"
"15" "815" "24297" "6" "2.08" "0.95" "0.979583773820985" "0.959633892830287" "0.984537289246333"
"16" "816" "24297" "6" "2.08" "0.962" "0.979583773820985" "0.959633892830287" "0.984537289246333"
"17" "817" "24297" "34" "2.09" "0.178" "0.751869349995828" "0.623285516157706" "0.731821500468259"
"18" "818" "24357" "6" "2.11" "0.148" "0.839342805219776" "0.670588842492614" "0.828900223539527"
"19" "819" "1247" "5" "2.14" "0.518" "0.807057923058949" "0.835104616300751" "0.753745562403653"
"20" "820" "1247" "5" "2.14" "0.59" "0.807057923058949" "0.835104616300751" "0.753745562403653"
"21" "821" "1247" "14" "2.15" "0.002" "0.109830510123365" "0.0931525550386276" "0.0448237828042918"
"22" "822" "24357" "6" "2.11" "0.124" "0.839342805219776" "0.670588842492614" "0.828900223539527"
"23" "823" "343" "2" "3.5" "0" "6.04483025160014e-05" "1.56309869000427e-05" "0.000122112880211568"
"24" "824" "24454" "6" "2.09" "0.98" "0.995139531117203" "0.986169091559518" "0.998341854844152"
"25" "825" "24454" "6" "2.09" "0.988" "0.995139531117203" "0.986169091559518" "0.998341854844152"
"26" "826" "24454" "24" "2.1" "0.142" "0.440429885713619" "0.356150079996327" "0.155381026186363"
"27" "827" "24390" "6" "2.11" "0.434" "0.889202210537035" "0.752045017700324" "0.89864711895953"
"28" "828" "1221" "4" "2.12" "0.006" "0.141030902004045" "0.0121741117884591" "0.137072161606813"
"29" "829" "1221" "4" "2.12" "0.004" "0.141030902004045" "0.0121741117884591" "0.137072161606813"
"30" "830" "1221" "10" "2.23" "0" "0.0487192051793238" "0.0873903648931106" "0.0186330004846679"
"31" "831" "24390" "6" "2.11" "0.448" "0.889202210537035" "0.752045017700324" "0.89864711895953"
"32" "832" "334" "2" "3.5" "0" "6.62892066622941e-05" "1.81096744012439e-05" "0.000132255225282512"
"33" "833" "24491" "6" "2.09" "0.934" "0.937094386264337" "0.86951996119455" "0.961317699850955"
"34" "834" "24491" "6" "2.09" "0.918" "0.937094386264337" "0.86951996119455" "0.961317699850955"
"35" "835" "24491" "34" "2.1" "0.514" "0.843661449474946" "0.759157759719737" "0.760685092350764"
"36" "836" "24443" "6" "2.1" "0.358" "0.917016010686309" "0.807036005550304" "0.914978926045751"
"37" "837" "1256" "5" "2.16" "0.176" "0.604720221344948" "0.369041596812255" "0.569478820038487"
"38" "838" "1256" "5" "2.16" "0.208" "0.604720221344948" "0.369041596812255" "0.569478820038487"
"39" "839" "1256" "8" "2.15" "0" "0.183526521829838" "0.29088822340015" "0.101031615176975"
"40" "840" "24443" "6" "2.1" "0.37" "0.917016010686309" "0.807036005550304" "0.914978926045751"
"41" "841" "339" "10" "2.61" "0" "0.794006608288035" "0.924865623227172" "0.848882650252741"
"42" "842" "24542" "8" "2.09" "0.866" "0.979193128703187" "0.944402711130322" "0.969613800830477"
"43" "843" "24542" "8" "2.09" "0.854" "0.979193128703187" "0.944402711130322" "0.969613800830477"
"44" "844" "24542" "28" "2.11" "0.294" "0.552839104754868" "0.452681649261608" "0.312415973220827"
"45" "845" "24511" "6" "2.11" "0.424" "0.85111535486356" "0.689012233635828" "0.819298612482251"
"46" "846" "1241" "5" "2.15" "0.134" "0.622967386280553" "0.344817618867294" "0.559606994194148"
"47" "847" "1241" "5" "2.15" "0.134" "0.622967386280553" "0.344817618867294" "0.559606994194148"
"48" "848" "1241" "8" "2.14" "0.002" "0.127466957007046" "0.204842497651403" "0.0561839722736156"
"49" "849" "24511" "6" "2.11" "0.378" "0.85111535486356" "0.689012233635828" "0.819298612482251"
"50" "850" "342" "2" "3.5" "0" "0.000196289694281759" "6.76452250604186e-05" "0.000367053629448832"
"51" "851" "24610" "5" "2.1" "0.766" "0.957646885507945" "0.90017151122237" "0.957172079971065"
"52" "852" "24610" "5" "2.1" "0.758" "0.957646885507945" "0.90017151122237" "0.957172079971065"
"53" "853" "24610" "28" "2.11" "0.054" "0.55855964484746" "0.372421172923001" "0.21877029092706"
"54" "854" "24545" "6" "2.1" "0.386" "0.635515364472306" "0.423391084931356" "0.559863714893861"
"55" "855" "1211" "4" "2.1" "0.098" "0.338028111176548" "0.103109574990263" "0.323905278000218"
"56" "856" "1211" "4" "2.1" "0.086" "0.338028111176548" "0.103109574990263" "0.323905278000218"
"57" "857" "1211" "14" "2.22" "0.002" "0.035453340310608" "0.036669730225095" "0.0144605398362226"
"58" "858" "24545" "6" "2.1" "0.372" "0.635515364472306" "0.423391084931356" "0.559863714893861"
"59" "859" "341" "2" "3.5" "0" "0.000132835045769714" "4.31130400205828e-05" "0.00025417386513233"
"60" "860" "24649" "7" "2.1" "0.95" "0.966818202251259" "0.966026408654493" "0.979752835328187"
"61" "861" "24649" "7" "2.1" "0.956" "0.966818202251259" "0.966026408654493" "0.979752835328187"
"62" "862" "24649" "32" "2.11" "0.478" "0.764334682966486" "0.707906231149009" "0.498091273270058"
"63" "863" "24671" "6" "2.11" "0.374" "0.531455505135872" "0.295941809142218" "0.496117071667598"
"64" "864" "1217" "5" "2.17" "0.04" "0.502240575948213" "0.205961626219919" "0.453200249801042"
"65" "865" "1217" "5" "2.17" "0.026" "0.502240575948213" "0.205961626219919" "0.453200249801042"
"66" "866" "1217" "8" "2.16" "0" "0.189591093559635" "0.20085020613448" "0.0905740524174549"
"67" "867" "24671" "6" "2.11" "0.454" "0.531455505135872" "0.295941809142218" "0.496117071667598"
"68" "868" "341" "2" "3.5" "0" "0.000367418276741654" "0.000135334017990612" "0.000662807713846509"
"69" "869" "24776" "7" "2.1" "0.926" "0.947260177461271" "0.89540296373325" "0.942830016887954"
"70" "870" "24776" "7" "2.1" "0.934" "0.947260177461271" "0.89540296373325" "0.942830016887954"
"71" "871" "24776" "28" "2.1" "0.43" "0.762147106328248" "0.808568369329028" "0.46762219255139"
"72" "872" "24698" "6" "2.1" "0.398" "0.637308639941159" "0.440535834133974" "0.56542198744428"
"73" "873" "1289" "5" "2.14" "0.026" "0.16624974411361" "0.0124910543420861" "0.142345370888637"
"74" "874" "1289" "5" "2.14" "0.04" "0.16624974411361" "0.0124910543420861" "0.142345370888637"
"75" "875" "1289" "10" "2.21" "0.01" "0.109439844412722" "0.187644778075943" "0.0655185235802752"
"76" "876" "24698" "6" "2.1" "0.366" "0.637308639941159" "0.440535834133974" "0.56542198744428"
"77" "877" "337" "2" "3.5" "0" "0.000364823235340279" "0.000124397789986297" "0.000653685793050025"
"78" "878" "24801" "8" "2.09" "0.856" "0.979291405322374" "0.94553635164785" "0.981804892520902"
"79" "879" "24801" "8" "2.09" "0.842" "0.979291405322374" "0.94553635164785" "0.981804892520902"
"80" "880" "24801" "30" "2.12" "0.112" "0.5319020821106" "0.440178236809568" "0.246916056431412"
"81" "881" "24707" "6" "2.1" "0.226" "0.633429984347779" "0.410815960408645" "0.553236343612268"
"82" "882" "1115" "5" "2.04" "0.092" "0.364646832793589" "0.109071235695698" "0.41162667551183"
"83" "883" "1115" "5" "2.04" "0.076" "0.364646832793589" "0.109071235695698" "0.41162667551183"
"84" "884" "1115" "12" "2.11" "0.046" "0.237021287445151" "0.190752679019708" "0.131418082196671"
"85" "885" "24707" "6" "2.1" "0.234" "0.633429984347779" "0.410815960408645" "0.553236343612268"
"86" "886" "339" "2" "3.5" "0" "0.000169816882135823" "6.20507798575093e-05" "0.000313122931346501"
"87" "887" "24810" "6" "2.08" "0.926" "0.896510478789532" "0.860791815012055" "0.903075398969837"
"88" "888" "24810" "6" "2.08" "0.912" "0.896510478789532" "0.860791815012055" "0.903075398969837"
"89" "889" "24810" "36" "2.11" "0.574" "0.6537553261007" "0.627225960669321" "0.578559468290348"
"90" "890" "24865" "6" "2.09" "0.262" "0.531012032050401" "0.321474073107461" "0.518658757401606"
"91" "891" "1261" "6" "2.16" "0.264" "0.575518629641986" "0.371102510178497" "0.600536424752098"
"92" "892" "1261" "6" "2.16" "0.258" "0.575518629641986" "0.371102510178497" "0.600536424752098"
"93" "893" "1261" "10" "2.17" "0.018" "0.179674977790375" "0.300936033930428" "0.0978968306105922"
"94" "894" "24865" "6" "2.09" "0.254" "0.531012032050401" "0.321474073107461" "0.518658757401606"
"95" "895" "334" "2" "3.5" "0" "0.00019211903576215" "5.86350529707564e-05" "0.000357228249180099"
"96" "896" "24969" "8" "2.11" "0.604" "0.929286112089727" "0.842295003041037" "0.954044140138931"
"97" "897" "24969" "8" "2.11" "0.608" "0.929286112089727" "0.842295003041037" "0.954044140138931"
"98" "898" "24969" "30" "2.11" "0.076" "0.468757386721316" "0.373417057182543" "0.240670846343674"
"99" "899" "24837" "6" "2.11" "0.628" "0.796907962381115" "0.673772517592036" "0.814407316642221"
