"Data" "n" "xmin" "alpha" "K" "W2" "U2" "A2"
"1" "3601" "59" "8" "3.5" "0.278" "0.660908586951622" "0.355853805401381" "0.764839958327209"
"2" "3602" "49" "6" "3.5" "0.73" "0.90134226323359" "0.694164538797044" "0.986824165886876"
"3" "3603" "57" "5" "2.38" "0.06" "0.364267555563897" "0.104329259160724" "0.535417259468885"
"4" "3604" "47" "7" "3.5" "0.35" "0.692239042290783" "0.788002970543052" "0.848706680655231"
"5" "3605" "55" "8" "3.5" "0.378" "0.406389549665707" "0.122402253537923" "0.356040000720431"
"6" "3606" "48" "6" "3.5" "0.33" "0.778752877296194" "0.610039006519213" "0.704441539558716"
"7" "3607" "40" "5" "2.63" "0.036" "0.453115921674707" "0.115379335000229" "0.612331917647269"
"8" "3608" "52" "6" "2.8" "0.226" "0.411578000476689" "0.142638860790662" "0.488286644778375"
"9" "3609" "46" "5" "3" "0.826" "0.957482045752263" "0.850111113516075" "0.997907874524544"
"10" "3610" "65" "4" "2.46" "0.03" "0.155045907783909" "0.0177295339570107" "0.223254726636172"
"11" "3611" "57" "3" "2.47" "0.21" "0.460451834480813" "0.160867126237922" "0.591566319124237"
"12" "3612" "60" "8" "3.5" "0.172" "0.201216635168735" "0.0147138629176449" "0.229441941933354"
"13" "3613" "53" "2" "1.91" "0" "0.0361273888422151" "0.0104322719501787" "0.0515982649596702"
"14" "3614" "28" "2" "2.04" "0" "0.126977639244837" "0.0073942743387399" "0.142556469662286"
"15" "3615" "26" "2" "2.22" "0.006" "0.179476559157755" "0.0190230042929792" "0.184728175763537"
"16" "3616" "27" "5" "1.84" "0" "0.162510640459059" "0.0122202169128269" "0.331454762218388"
"17" "3617" "8" "4" "3.5" "0.398" "0.570694313471634" "0.261192799319471" "0.795386192530333"
"18" "3618" "32" "10" "3.5" "0.076" "0.132554146466002" "0.384048010324412" "0.159803846634432"
"19" "3619" "10" "4" "3.5" "0.002" "0.145079434670912" "0.471748403152825" "0.0821972556424242"
"20" "3620" "29" "2" "1.5" "0" "0.0176356130846913" "0.000444853071155522" "0.0510970304416827"
"21" "3621" "24" "9" "3.5" "0.01" "0.492981957511962" "0.668611774615857" "0.601809364153709"
"22" "3622" "7" "3" "2.69" "0.33" "0.547655516190734" "0.153348835401696" "0.734977564343434"
"23" "3623" "35" "2" "1.5" "0" "0.0100133432775186" "0.000331534317546192" "0.0301920834601751"
"24" "3624" "8" "5" "3.5" "0.15" "0.0911950008834903" "0.00351363893707544" "0.130144983644321"
"25" "3625" "27" "10" "3.5" "0.016" "0.0546395894615748" "0.0794635252007438" "0.087066546787007"
"26" "3626" "24" "3" "1.7" "0" "0.0482489784672536" "0.00285054056682983" "0.099859282010836"
"27" "3627" "27" "3" "1.67" "0" "0.0427578659075186" "0.00368755162922439" "0.106624821244116"
"28" "3628" "447" "2" "3.5" "0" "0.00921034137127846" "0.00096805210672991" "0.00786049166568009"
"29" "3629" "1893" "3" "3.5" "0" "3.98815538885583e-23" "1.07801224996352e-11" "9.49430611014812e-26"
"30" "3630" "272" "2" "3.5" "0" "0.0327313704227909" "0.52598391048704" "0.0343511890824423"
"31" "3631" "873" "2" "3.38" "0" "1.58735487085575e-30" "2.35821775523913e-79" "5.35118955636741e-31"
