"Data" "n" "xmin" "alpha" "K" "W2" "U2" "A2"
"1" "1601" "1644" "3" "3.5" "0" "2.36544092798784e-17" "5.14884654811568e-14" "1.0992693762292e-21"
"2" "1602" "1817" "3" "3.5" "0" "5.49523269970771e-23" "2.04293080580464e-19" "5.55617586717228e-29"
"3" "1603" "1817" "3" "3.5" "0" "5.49523269970771e-23" "2.04293080580464e-19" "5.55617586717228e-29"
"4" "1604" "1553" "3" "3.5" "0" "1.014394412194e-20" "9.8827520445486e-16" "7.85001908590461e-25"
"5" "1605" "1553" "3" "3.5" "0" "1.014394412194e-20" "9.8827520445486e-16" "7.85001908590461e-25"
"6" "1606" "1850" "3" "3.5" "0" "7.26423800895237e-20" "7.35412962901309e-16" "8.71667015630568e-25"
"7" "1607" "1850" "3" "3.5" "0" "7.26423800895237e-20" "7.35412962901309e-16" "8.71667015630568e-25"
"8" "1608" "2741" "3" "3.5" "0" "3.48519880198226e-38" "3.82037585851633e-29" "7.91560192722418e-43"
"9" "1609" "2741" "3" "3.5" "0" "3.48519880198226e-38" "3.82037585851633e-29" "7.91560192722418e-43"
"10" "1610" "507" "3" "3.5" "0" "4.50911102961162e-16" "6.44878069718025e-13" "1.48806835507903e-17"
"11" "1611" "507" "3" "3.5" "0" "4.50911102961162e-16" "6.44878069718025e-13" "1.48806835507903e-17"
"12" "1612" "431" "3" "3.5" "0" "1.10771215236935e-08" "6.69209271851033e-07" "2.44109389883043e-09"
"13" "1613" "431" "3" "3.5" "0" "1.10771215236935e-08" "6.69209271851033e-07" "2.44109389883043e-09"
"14" "1614" "952" "3" "3.5" "0" "3.30062641283675e-06" "9.79509348973347e-07" "1.69058620132514e-09"
"15" "1615" "952" "3" "3.5" "0" "3.30062641283675e-06" "9.79509348973347e-07" "1.69058620132514e-09"
"16" "1616" "346" "3" "3.5" "0" "7.58061541004319e-06" "0.000164875281724799" "1.86451047765197e-06"
"17" "1617" "346" "3" "3.5" "0" "7.58061541004319e-06" "0.000164875281724799" "1.86451047765197e-06"
"18" "1618" "658" "3" "3.5" "0.574" "2.37546405512214e-26" "1.22140781801683e-21" "8.45363697998038e-28"
"19" "1619" "658" "3" "3.5" "0.562" "2.37546405512214e-26" "1.22140781801683e-21" "8.45363697998038e-28"
"20" "1620" "570" "3" "3.5" "0" "1.20552274548e-11" "3.07293659142993e-09" "1.26017498066452e-12"
"21" "1621" "570" "3" "3.5" "0" "1.20552274548e-11" "3.07293659142993e-09" "1.26017498066452e-12"
"22" "1622" "1212" "3" "3.5" "0" "9.37353151168615e-09" "2.32544543498524e-08" "8.75565829121742e-13"
"23" "1623" "1212" "3" "3.5" "0" "9.37353151168615e-09" "2.32544543498524e-08" "8.75565829121742e-13"
"24" "1624" "814" "3" "3.5" "0" "9.67245138129765e-12" "4.27802338988379e-09" "3.00637671683711e-14"
"25" "1625" "814" "3" "3.5" "0" "9.67245138129765e-12" "4.27802338988379e-09" "3.00637671683711e-14"
"26" "1626" "634" "6" "3.13" "0.956" "0.747911802202842" "0.986567919861339" "0.729553240875739"
"27" "1627" "634" "6" "3.13" "0.96" "0.747911802202842" "0.986567919861339" "0.729553240875739"
"28" "1628" "687" "3" "3.5" "0" "8.76252502374263e-14" "5.66942506224266e-11" "7.3811213025785e-15"
"29" "1629" "687" "3" "3.5" "0" "8.76252502374263e-14" "5.66942506224266e-11" "7.3811213025785e-15"
"30" "1630" "1531" "3" "3.5" "0" "4.78761062315996e-18" "4.16265685013143e-14" "3.02052808333927e-23"
"31" "1631" "1531" "3" "3.5" "0" "4.78761062315996e-18" "4.16265685013143e-14" "3.02052808333927e-23"
"32" "1632" "723" "3" "3.5" "0" "1.24123072836895e-10" "3.59113791582268e-08" "9.27602296867432e-13"
"33" "1633" "723" "3" "3.5" "0" "1.24123072836895e-10" "3.59113791582268e-08" "9.27602296867432e-13"
"34" "1634" "630" "3" "3.5" "0" "1.64837208167729e-22" "3.33498068486323e-18" "1.05492691418808e-23"
"35" "1635" "630" "3" "3.5" "0" "1.64837208167729e-22" "3.33498068486323e-18" "1.05492691418808e-23"
"36" "1636" "765" "7" "2.46" "0.962" "0.820846319094422" "0.959384388361907" "0.870613554849374"
"37" "1637" "765" "7" "2.46" "0.972" "0.820846319094422" "0.959384388361907" "0.870613554849374"
"38" "1638" "1738" "3" "3.5" "0" "2.28191591941856e-20" "6.18033407907961e-16" "2.49129936251947e-26"
"39" "1639" "1738" "3" "3.5" "0" "2.28191591941856e-20" "6.18033407907961e-16" "2.49129936251947e-26"
"40" "1640" "681" "3" "3.5" "0" "9.5884025537304e-12" "7.20105895715899e-09" "1.43082316890949e-13"
"41" "1641" "681" "3" "3.5" "0" "9.5884025537304e-12" "7.20105895715899e-09" "1.43082316890949e-13"
"42" "1642" "1655" "3" "3.5" "0" "1.41237742676601e-70" "1.32852680545361e-61" "5.18822925786896e-73"
"43" "1643" "1655" "3" "3.5" "0" "1.41237742676601e-70" "1.32852680545361e-61" "5.18822925786896e-73"
"44" "1644" "1074" "3" "3.5" "0" "6.25034152549406e-32" "2.99784532831087e-26" "1.89770256947588e-34"
"45" "1645" "1074" "3" "3.5" "0" "6.25034152549406e-32" "2.99784532831087e-26" "1.89770256947588e-34"
"46" "1646" "1281" "3" "3.5" "0" "1.59765486483111e-19" "1.01033955996347e-15" "1.55302228396863e-23"
"47" "1647" "1281" "3" "3.5" "0" "1.59765486483111e-19" "1.01033955996347e-15" "1.55302228396863e-23"
"48" "1648" "2011" "3" "3.5" "0" "4.47516088514877e-89" "1.91134053975556e-77" "1.80726216865537e-92"
"49" "1649" "2011" "3" "3.5" "0" "4.47516088514877e-89" "1.91134053975556e-77" "1.80726216865537e-92"
"50" "1650" "1399" "3" "3.5" "0" "9.08936712000959e-46" "7.07445255433309e-38" "3.64890579947841e-49"
"51" "1651" "1399" "3" "3.5" "0" "9.08936712000959e-46" "7.07445255433309e-38" "3.64890579947841e-49"
"52" "1652" "1576" "3" "3.5" "0" "4.22845864678272e-24" "1.97638750425485e-19" "3.07441400744611e-29"
"53" "1653" "1576" "3" "3.5" "0" "4.22845864678272e-24" "1.97638750425485e-19" "3.07441400744611e-29"
"54" "1654" "2089" "3" "3.5" "0" "1.00901215436446e-91" "1.33617624290304e-79" "2.41174899242175e-95"
"55" "1655" "2089" "3" "3.5" "0" "1.00901215436446e-91" "1.33617624290304e-79" "2.41174899242175e-95"
"56" "1656" "1855" "3" "3.5" "0" "3.52600801412823e-45" "3.68665356880877e-36" "8.07909586425404e-51"
"57" "1657" "1855" "3" "3.5" "0" "3.52600801412823e-45" "3.68665356880877e-36" "8.07909586425404e-51"
"58" "1658" "1735" "3" "3.5" "0" "3.79840719638251e-25" "3.01036028131992e-20" "8.86836808143655e-31"
"59" "1659" "1735" "3" "3.5" "0" "3.79840719638251e-25" "3.01036028131992e-20" "8.86836808143655e-31"
"60" "1660" "1635" "3" "3.5" "0" "4.58537715139725e-73" "7.01758014011564e-65" "2.7020879900269e-76"
"61" "1661" "1635" "3" "3.5" "0" "4.58537715139725e-73" "7.01758014011564e-65" "2.7020879900269e-76"
"62" "1662" "1541" "3" "3.5" "0" "3.30873219427466e-70" "1.96005231796515e-61" "1.93372311207116e-72"
"63" "1663" "1541" "3" "3.5" "0" "3.30873219427466e-70" "1.96005231796515e-61" "1.93372311207116e-72"
"64" "1664" "1802" "3" "3.5" "0" "3.36104390157252e-49" "8.8491882305511e-40" "2.16030750492065e-54"
"65" "1665" "1802" "3" "3.5" "0" "3.36104390157252e-49" "8.8491882305511e-40" "2.16030750492065e-54"
"66" "1666" "1200" "3" "3.5" "0" "5.05037830319509e-19" "2.77085164291226e-15" "1.02190631605739e-22"
"67" "1667" "1200" "3" "3.5" "0" "5.05037830319509e-19" "2.77085164291226e-15" "1.02190631605739e-22"
"68" "1668" "1609" "3" "3.5" "0" "2.70924388174694e-45" "1.12188373562408e-36" "7.59621449498557e-50"
"69" "1669" "1609" "3" "3.5" "0" "2.70924388174694e-45" "1.12188373562408e-36" "7.59621449498557e-50"
