"Data" "n" "xmin" "alpha" "K" "W2" "U2" "A2"
"1" "1201" "9069" "87" "3.5" "0" "3.70072801827615e-57" "4.94247846081725e-15" "5.58662275013435e-42"
"2" "1202" "20871" "116" "3.5" "0" "3.13993389319239e-62" "1.1824482876026e-33" "5.71908353246925e-44"
"3" "1203" "3748" "85" "3.5" "0" "0.103964483872337" "0.00424211627024862" "0.0389659411600785"
"4" "1204" "30147" "146" "3.5" "0" "3.09962666893009e-109" "1.20568335879324e-30" "2.65944075345672e-83"
"5" "1205" "6440" "144" "3.5" "0" "0.0015187428122504" "6.96694034163859e-49" "4.11673439231885e-93"
"6" "1206" "32375" "118" "3.5" "0" "1.01222720173095e-99" "1.12973884977162e-27" "5.10772946411759e-72"
"7" "1207" "15436" "124" "3.5" "0" "5.63317302632581e-48" "1.75970228553973e-43" "1.62262321272248e-32"
"8" "1208" "13882" "89" "3.5" "0" "4.52534748640312e-62" "6.03161028724209e-21" "1.04899124855796e-46"
"9" "1209" "10567" "139" "3.5" "0" "2.24541347895578e-71" "2.91061248529465e-27" "9.24803257420815e-53"
"10" "1210" "12155" "124" "3.5" "0" "4.3158775272709e-81" "4.96067943153422e-27" "6.3746006188394e-61"
"11" "1211" "21679" "106" "3.5" "0" "2.57152298602027e-114" "2.07354979410017e-46" "1.21948075379432e-97"
"12" "1212" "17425" "200" "3.5" "0" "7.70113655308673e-132" "3.70414606243235e-44" "8.19457667697906e-103"
"13" "1213" "41554" "110" "3.5" "0" "3.30061894927033e-101" "6.43314839564919e-37" "5.45453763837559e-76"
"14" "1214" "24580" "109" "3.5" "0" "7.55401439752945e-60" "1.56600346350255e-35" "4.54144457026615e-39"
"15" "1215" "11621" "168" "3.5" "0" "4.51364034762868e-104" "1.19841818668504e-32" "9.1506354929064e-84"
"16" "1216" "13653" "122" "3.5" "0" "1.17173343830293e-31" "9.61755882026038e-52" "1.6005060312404e-21"
"17" "1217" "13686" "108" "3.5" "0" "0.00252294912734258" "1.61333003714255e-62" "4.65159084678371e-105"
"18" "1218" "16979" "175" "3.5" "0" "2.45696424563137e-106" "1.3412471127237e-27" "6.7825406748115e-84"
"19" "1219" "31560" "148" "3.5" "0" "3.10936038713152e-75" "1.22196619011152e-43" "1.20389006428059e-53"
"20" "1220" "36371" "176" "3.5" "0" "3.36964965912782e-138" "1.3880654098987e-43" "4.18868017398753e-107"
"21" "1221" "6682" "108" "3.5" "0" "1.13330081348393e-97" "4.24394397390641e-50" "9.69039490526811e-79"
"22" "1222" "7752" "117" "3.5" "0" "2.8579784000863e-79" "7.16790708328505e-29" "7.48773527099252e-61"
"23" "1223" "16808" "111" "3.5" "0" "3.87304120452973e-82" "2.88308586729202e-22" "9.00194947465995e-64"
"24" "1224" "13746" "129" "3.5" "0" "5.72725810822179e-126" "5.50951127401436e-65" "1.54115504632264e-103"
"25" "1225" "6833" "90" "3.5" "0" "0.00188095534057131" "6.62941026519676e-29" "1.95937931295887e-54"
"26" "1226" "14940" "126" "3.5" "0" "1.17150224507725e-63" "8.20474120201787e-21" "4.42388655924438e-51"
"27" "1227" "6591" "102" "3.5" "0" "1.11981761692712e-82" "7.50807939682965e-33" "1.11461808545356e-66"
"28" "1228" "20467" "128" "3.5" "0" "3.82531114160786e-70" "2.9606460704893e-34" "1.22113623006449e-50"
"29" "1229" "14935" "111" "3.5" "0" "7.86167133368472e-87" "3.07401374400548e-35" "8.05109534150075e-70"
"30" "1230" "8991" "80" "3.5" "0" "3.17477210481592e-44" "3.15544952030089e-17" "2.2791193054699e-32"
"31" "1231" "14948" "101" "3.5" "0" "5.67385137053038e-81" "1.23630082633562e-27" "2.41158463715984e-59"
"32" "1232" "35123" "160" "3.5" "0" "1.15165878730197e-99" "1.83725530208427e-37" "4.04376455149673e-74"
"33" "1233" "24389" "160" "3.5" "0" "1.44311411290473e-82" "2.48150954780789e-41" "4.7504292360635e-61"
"34" "1234" "30809" "135" "3.5" "0" "3.23331230702844e-47" "7.16852712151582e-65" "2.65069573901472e-29"
"35" "1235" "16516" "93" "3.5" "0" "8.07165867504097e-56" "2.8774453565592e-31" "1.09930175526633e-40"
"36" "1236" "18163" "141" "3.5" "0" "3.37358395743144e-127" "4.15850807687122e-49" "7.66501861236884e-103"
"37" "1237" "14916" "143" "3.5" "0" "2.00803744018808e-64" "1.82832944027447e-38" "2.9647587903597e-44"
"38" "1238" "17444" "154" "3.5" "0" "1.98438303074822e-73" "3.99983921072929e-36" "6.75197209117317e-53"
"39" "1239" "13377" "114" "3.5" "0" "9.96042978848074e-98" "1.98643996619544e-46" "1.7748364142236e-84"
"40" "1240" "2682" "84" "3.5" "0" "0.102529753601407" "0.00282270320195993" "0.036726643645158"
"41" "1241" "17196" "142" "3.5" "0" "2.02103624596409e-100" "1.0151700854048e-30" "6.12218534722872e-80"
"42" "1242" "7324" "85" "3.5" "0" "1.40988996916503e-64" "5.06191535055697e-26" "2.00397498717411e-52"
"43" "1243" "7772" "116" "3.5" "0" "1.72335153435535e-89" "2.80471641099102e-31" "2.77895184932343e-66"
"44" "1244" "21325" "122" "3.5" "0" "2.07824347766925e-115" "1.63751558544682e-42" "1.2725309783263e-89"
"45" "1245" "23842" "108" "3.5" "0" "5.14675911699494e-76" "7.81019039045859e-33" "3.28672820058212e-55"
"46" "1246" "35" "4" "2.94" "0.218" "0.692429042562005" "0.368594359475193" "0.755286230846816"
"47" "1247" "35" "4" "2.89" "0.258" "0.501167503984258" "0.177697063595275" "0.579694584974331"
"48" "1248" "11" "43" "2.41" "0.174" "0.765291327444533" "0.508550102425426" "0.761654825606069"
"49" "1249" "182" "4" "2.45" "0" "2.87895566795865e-05" "4.7795467777613e-14" "0.000144496957717214"
"50" "1250" "183" "47" "2.5" "0" "0.830948693774665" "0.615304388047109" "0.787045134407854"
"51" "1251" "11" "43" "2.41" "0.196" "0.765291327444533" "0.508550102425426" "0.761654825606069"
"52" "1252" "182" "4" "2.45" "0" "2.87895566795865e-05" "4.7795467777613e-14" "0.000144496957717214"
"53" "1253" "183" "47" "2.5" "0" "0.830948693774665" "0.615304388047109" "0.787045134407854"
"54" "1254" "105938" "96" "2.22" "0" "1.56077695499372e-125" "1.27335120444051e-104" "7.0320259709971e-82"
"55" "1255" "1781" "6" "2" "0" "4.31527123154592e-16" "7.32395452719967e-08" "4.07796701827136e-14"
"56" "1256" "1781" "6" "2" "0" "4.31527123154592e-16" "7.32395452719967e-08" "4.07796701827136e-14"
"57" "1257" "1781" "6" "2" "0" "4.31527123154592e-16" "7.32395452719967e-08" "4.07796701827136e-14"
"58" "1258" "1781" "6" "2" "0" "4.31527123154592e-16" "7.32395452719967e-08" "4.07796701827136e-14"
"59" "1259" "1781" "6" "2" "0" "4.31527123154592e-16" "7.32395452719967e-08" "4.07796701827136e-14"
"60" "1260" "1781" "6" "2" "0" "4.31527123154592e-16" "7.32395452719967e-08" "4.07796701827136e-14"
"61" "1261" "1781" "6" "2" "0" "4.31527123154592e-16" "7.32395452719967e-08" "4.07796701827136e-14"
"62" "1262" "14" "3" "3.5" "0.436" "0.566871537792181" "0.208615221817291" "0.847462507174595"
"63" "1263" "41" "3" "3.37" "0.558" "0.647995445528634" "0.312038730523354" "0.743494080551324"
"64" "1264" "41" "7" "3.42" "0.988" "0.960443463506307" "0.88798721155155" "0.973182431258762"
"65" "1265" "52" "4" "2.24" "0.002" "0.538443766801802" "0.504753884517176" "0.584010815549714"
"66" "1266" "84" "8" "2.88" "0.636" "0.995857491898995" "0.987467429623301" "0.999947828716429"
"67" "1267" "28" "2" "2" "0.12" "0.358253306213006" "0.0711140990402501" "0.525118683191987"
"68" "1268" "38" "2" "2.17" "0.126" "0.58605953760571" "0.295097953923614" "0.641957936840905"
"69" "1269" "54" "3" "2.31" "0.294" "0.876555480417196" "0.685769151735508" "0.898606046829888"
"70" "1270" "42" "3" "1.99" "0.018" "0.0132919580915013" "0.00106370486820689" "0.0198437023054215"
"71" "1271" "46" "3" "2.24" "0.314" "0.606086766751136" "0.545591673975219" "0.664708174650158"
"72" "1272" "77" "9" "3.5" "0.826" "0.927847044797629" "0.891808327995609" "0.930814963162129"
"73" "1273" "37" "5" "2.28" "0.018" "0.567102378244904" "0.238662612502434" "0.757025365576984"
"74" "1274" "71" "10" "3.5" "0.914" "0.968829983118772" "0.973827899493144" "0.978289544827981"
"75" "1275" "86" "10" "3.02" "0.674" "0.692288129349818" "0.484845374389614" "0.742839491167377"
"76" "1276" "41" "16" "3.5" "0.088" "0.403622843858647" "0.0795853722841495" "0.631775470768917"
"77" "1277" "72" "12" "3.29" "0.126" "0.449783079129889" "0.181302288630719" "0.583627925012224"
"78" "1278" "34" "4" "3.5" "0.798" "0.931601419412845" "0.934396643339131" "0.92823971652814"
"79" "1279" "25" "2" "1.86" "0.23" "0.711142962315112" "0.390368277983733" "0.799607722391265"
"80" "1280" "48" "4" "2.62" "0.742" "0.795950637703211" "0.557241503171539" "0.838962818982627"
"81" "1281" "33" "4" "2.89" "0.608" "0.899234984921173" "0.747561982972962" "0.960875509297121"
"82" "1282" "45" "2" "2.24" "0.894" "0.950559284822431" "0.922985743780554" "0.966568392250918"
"83" "1283" "71" "4" "2.58" "0.294" "0.936170298875645" "0.94050113963605" "0.966011409623116"
"84" "1284" "30" "4" "3.13" "0.5" "0.852819671426165" "0.603935241287877" "0.94776227565381"
"85" "1285" "38" "3" "2.3" "0.292" "0.734916432289593" "0.464741240638789" "0.764809916757741"
"86" "1286" "58" "4" "2.63" "0.932" "0.947450065560925" "0.843619412300755" "0.956682185381625"
"87" "1287" "37" "12" "3.5" "0.906" "0.792945287009005" "0.668816751308686" "0.847127224065894"
"88" "1288" "66" "9" "3.08" "0.008" "0.61111479186183" "0.290491628595042" "0.695369828396659"
"89" "1289" "43" "13" "3.5" "0.004" "0.0326978424530868" "0.00177110551017498" "0.0522971771873738"
"90" "1290" "76" "5" "2.18" "0.026" "0.600251056023342" "0.248573886906468" "0.729413734112183"
"91" "1291" "57" "20" "3.5" "0.05" "0.293824164733125" "0.0352997162307641" "0.425075387488458"
"92" "1292" "94" "17" "3.5" "0.106" "0.307111618625879" "0.0553142616155644" "0.395517464859624"
"93" "1293" "36" "9" "3.5" "0.562" "0.463464644111104" "0.141094082865937" "0.518447019179822"
"94" "1294" "72" "2" "1.84" "0.04" "0.255096858676088" "0.0619648806014719" "0.314455007144938"
"95" "1295" "84" "12" "3.5" "0.498" "0.536134163306008" "0.873022007854706" "0.510572182443483"
"96" "1296" "49" "14" "3.5" "0.53" "0.811320885121935" "0.575342439939468" "0.887488977808441"
"97" "1297" "76" "13" "3.22" "0.342" "0.826072963766263" "0.559326242009178" "0.856115940014942"
"98" "1298" "40" "15" "3.31" "0.144" "0.436425467425589" "0.134453917624525" "0.523120327815699"
"99" "1299" "82" "5" "2.07" "0.004" "0.12056286141599" "0.0123746155355208" "0.18814257158932"
"100" "1300" "36" "10" "3.5" "0.036" "0.280408162347746" "0.0926556632019407" "0.558022523785339"
"101" "1301" "64" "5" "2.58" "0.346" "0.923258939030197" "0.784276991907434" "0.981641641872829"
"102" "1302" "57" "7" "3.5" "0.798" "0.768092390785438" "0.467390026410741" "0.862473059044663"
"103" "1303" "72" "3" "2.23" "0.142" "0.693942653544197" "0.441424382371073" "0.642528827918721"
"104" "1304" "105" "10" "3.5" "0.556" "0.739185156662125" "0.538900951587917" "0.722002927222927"
"105" "1305" "43" "2" "2.25" "0.042" "0.298474648032404" "0.0770892002827728" "0.335826158043595"
"106" "1306" "38" "2" "2.15" "0.428" "0.640081206063785" "0.37653498610586" "0.665917753896591"
"107" "1307" "71" "6" "2.21" "0.004" "0.919946686669864" "0.935642010793498" "0.957606370252124"
"108" "1308" "53" "4" "3.17" "0.212" "0.719632157283277" "0.492487421652954" "0.73025503580272"
"109" "1309" "50" "2" "1.8" "0.01" "0.521445392039964" "0.197431260322695" "0.65213798768692"
"110" "1310" "78" "4" "2.61" "0.72" "0.870351452723621" "0.872480913331753" "0.904968511906632"
"111" "1311" "46" "7" "3.4" "0.498" "0.723048195811261" "0.400038302119076" "0.836826620357465"
